
*******   STEP   1      *** NEFF=10 CALCULATION                
*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.681E-02   0.188E-01   0.169E-01
    2   0.357E-02   0.228E-01   0.102E-01
    3   0.168E-02   0.152E-01   0.458E-02
    4   0.987E-03   0.942E-02   0.214E-02
    5   0.492E-03   0.589E-02   0.135E-02
    6   0.429E-03   0.384E-02   0.819E-03
    7   0.273E-03   0.227E-02   0.436E-03
    8   0.158E-03   0.130E-02   0.234E-03
    9   0.851E-04   0.804E-03   0.202E-03

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.687E-02   0.194E-01   0.168E-01
    2   0.351E-02   0.224E-01   0.993E-02
    3   0.162E-02   0.147E-01   0.445E-02
    4   0.948E-03   0.906E-02   0.207E-02
    5   0.467E-03   0.563E-02   0.129E-02
    6   0.407E-03   0.366E-02   0.779E-03
    7   0.258E-03   0.213E-02   0.409E-03
    8   0.147E-03   0.121E-02   0.214E-03
    9   0.781E-04   0.739E-03   0.185E-03

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.683E-02   0.195E-01   0.164E-01
    2   0.339E-02   0.215E-01   0.950E-02
    3   0.154E-02   0.139E-01   0.423E-02
    4   0.892E-03   0.857E-02   0.197E-02
    5   0.437E-03   0.533E-02   0.122E-02
    6   0.380E-03   0.347E-02   0.735E-03
    7   0.240E-03   0.202E-02   0.385E-03
    8   0.136E-03   0.115E-02   0.200E-03
    9   0.728E-04   0.708E-03   0.172E-03

*******   STEP  14      *** NEFF=10 CALCULATION                
    1   0.672E-02   0.192E-01   0.158E-01
    2   0.323E-02   0.205E-01   0.895E-02
    3   0.144E-02   0.131E-01   0.396E-02
    4   0.826E-03   0.803E-02   0.185E-02
    5   0.403E-03   0.501E-02   0.115E-02
    6   0.351E-03   0.329E-02   0.690E-03
    7   0.223E-03   0.192E-02   0.366E-03
    8   0.127E-03   0.112E-02   0.192E-03
    9   0.692E-04   0.705E-03   0.163E-03

*******   STEP  15      *** NEFF=10 CALCULATION                
    1   0.656E-02   0.186E-01   0.151E-01
    2   0.304E-02   0.193E-01   0.834E-02
    3   0.133E-02   0.122E-01   0.366E-02
    4   0.757E-03   0.747E-02   0.171E-02
    5   0.368E-03   0.471E-02   0.107E-02
    6   0.322E-03   0.312E-02   0.649E-03
    7   0.206E-03   0.186E-02   0.352E-03
    8   0.119E-03   0.111E-02   0.189E-03
    9   0.673E-04   0.721E-03   0.157E-03

*******   STEP  16      *** NEFF=10 CALCULATION                
    1   0.636E-02   0.179E-01   0.143E-01
    2   0.285E-02   0.181E-01   0.771E-02
    3   0.122E-02   0.113E-01   0.336E-02
    4   0.688E-03   0.693E-02   0.158E-02
    5   0.335E-03   0.444E-02   0.995E-03
    6   0.295E-03   0.298E-02   0.612E-03
    7   0.190E-03   0.181E-02   0.341E-03
    8   0.112E-03   0.112E-02   0.190E-03
