  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   7.000   0.006   0.023   0.328   0.000   0.000   0.000   0.209
   0.025   7.000   0.005   0.028   0.320   0.000   0.000   0.000   0.208
   0.050   8.000   0.004   0.033   0.311   0.000   0.000   0.000   0.208
   0.075   8.000   0.003   0.038   0.303   0.000   0.000   0.000   0.210
   0.100   8.000   0.003   0.043   0.296   0.000   0.000   0.000   0.213
   0.125   8.000   0.002   0.048   0.289   0.000   0.000   0.000   0.218
   0.150   8.000   0.002   0.053   0.283   0.000   0.000   0.000   0.223
   0.175   8.000   0.002   0.058   0.277   0.000   0.000   0.000   0.229
   0.200   8.000   0.002   0.063   0.272   0.000   0.000   0.000   0.236
   0.225   8.000   0.001   0.069   0.267   0.000   0.000   0.000   0.243
   0.250   8.000   0.001   0.074   0.263   0.000   0.000   0.000   0.250
   0.275   8.000   0.001   0.080   0.258   0.000   0.000   0.000   0.257
   0.300   8.000   0.001   0.086   0.255   0.000   0.000   0.000   0.264
   0.325   8.000   0.001   0.091   0.251   0.000   0.000   0.000   0.271
   0.350   8.000   0.001   0.097   0.247   0.000   0.000   0.000   0.277
   0.375   8.000   0.001   0.102   0.244   0.000   0.000   0.000   0.283
   0.400   8.000   0.001   0.106   0.241   0.000   0.000   0.000   0.288
   0.425   8.000   0.001   0.109   0.236   0.000   0.000   0.000   0.291
   0.450   8.000   0.001   0.113   0.231   0.000   0.000   0.000   0.293
   0.475   8.000   0.000   0.116   0.225   0.000   0.000   0.000   0.294
   0.500   8.000   0.000   0.121   0.219   0.000   0.000   0.000   0.295
   0.525   8.000   0.000   0.126   0.213   0.000   0.000   0.000   0.296
   0.550   8.000   0.000   0.131   0.207   0.000   0.000   0.000   0.297
   0.575   8.000   0.000   0.136   0.201   0.000   0.000   0.000   0.299
   0.600   8.000   0.000   0.141   0.196   0.000   0.000   0.000   0.301
   0.625   8.000   0.000   0.146   0.192   0.000   0.000   0.000   0.303
   0.650   8.000   0.000   0.150   0.188   0.000   0.000   0.000   0.305
   0.675   8.000   0.000   0.155   0.184   0.000   0.000   0.000   0.308
   0.700   8.000   0.000   0.159   0.181   0.000   0.000   0.000   0.310
   0.725   8.000   0.000   0.162   0.179   0.000   0.000   0.000   0.313
   0.750   8.000   0.000   0.166   0.177   0.000   0.000   0.000   0.316
   0.775   8.000   0.000   0.169   0.175   0.000   0.000   0.000   0.318
   0.800   9.000   0.000   0.171   0.174   0.000   0.000   0.000   0.321
   0.825   9.000   0.000   0.174   0.173   0.000   0.000   0.000   0.323
   0.850   9.000   0.000   0.176   0.172   0.000   0.000   0.000   0.326
   0.875   9.000   0.000   0.178   0.172   0.000   0.000   0.000   0.328
   0.900   9.000   0.000   0.180   0.171   0.000   0.000   0.000   0.330
   0.925   9.000   0.000   0.182   0.171   0.000   0.000   0.000   0.332
   0.950   9.000   0.000   0.184   0.171   0.000   0.000   0.000   0.334
   0.975   9.000   0.000   0.185   0.171   0.000   0.000   0.000   0.336
   1.000   9.000   0.000   0.186   0.171   0.000   0.000   0.000   0.338
