  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  25.000   0.131   0.123   0.250
   0.025  25.000   0.131   0.124   0.253
   0.050  26.000   0.130   0.125   0.253
   0.075  25.000   0.129   0.125   0.252
   0.100  25.000   0.127   0.124   0.250
   0.125  27.000   0.126   0.124   0.249
   0.150  26.000   0.125   0.124   0.248
   0.175  26.000   0.123   0.123   0.246
   0.200  26.000   0.120   0.123   0.244
   0.225  25.000   0.118   0.121   0.241
   0.250  27.000   0.114   0.119   0.236
   0.275  28.000   0.111   0.117   0.230
   0.300  28.000   0.107   0.113   0.223
   0.325  28.000   0.104   0.110   0.216
   0.350  28.000   0.100   0.106   0.209
   0.375  28.000   0.096   0.103   0.202
   0.400  28.000   0.093   0.099   0.195
   0.425  28.000   0.090   0.096   0.188
   0.450  28.000   0.087   0.093   0.182
   0.475  28.000   0.084   0.090   0.176
   0.500  28.000   0.082   0.087   0.171
   0.525  28.000   0.079   0.085   0.166
   0.550  28.000   0.077   0.082   0.161
   0.575  28.000   0.075   0.080   0.157
   0.600  28.000   0.073   0.078   0.153
   0.625  28.000   0.071   0.076   0.149
   0.650  28.000   0.070   0.074   0.146
   0.675  28.000   0.068   0.072   0.143
   0.700  28.000   0.067   0.071   0.140
   0.725  28.000   0.066   0.070   0.137
   0.750  28.000   0.064   0.068   0.134
   0.775  28.000   0.063   0.067   0.132
   0.800  28.000   0.062   0.066   0.130
   0.825  28.000   0.061   0.065   0.127
   0.850  28.000   0.061   0.064   0.126
   0.875  28.000   0.060   0.063   0.124
   0.900  28.000   0.060   0.063   0.124
   0.925  28.000   0.060   0.063   0.124
   0.950  28.000   0.060   0.063   0.124
   0.975  28.000   0.060   0.063   0.124
   1.000  28.000   0.060   0.063   0.124
