  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.126   0.134   0.264
   0.025  21.000   0.128   0.136   0.268
   0.050  21.000   0.129   0.137   0.270
   0.075  19.000   0.130   0.137   0.270
   0.100  18.000   0.130   0.135   0.268
   0.125  14.000   0.130   0.135   0.266
   0.150  19.000   0.132   0.137   0.270
   0.175  19.000   0.134   0.139   0.275
   0.200  19.000   0.134   0.141   0.278
   0.225  20.000   0.134   0.141   0.278
   0.250  21.000   0.132   0.140   0.276
   0.275  21.000   0.130   0.139   0.272
   0.300  22.000   0.127   0.136   0.268
   0.325  23.000   0.124   0.134   0.262
   0.350  23.000   0.121   0.131   0.256
   0.375  22.000   0.118   0.128   0.250
   0.400  22.000   0.115   0.125   0.244
   0.425  21.000   0.112   0.122   0.238
   0.450  21.000   0.109   0.118   0.231
   0.475  21.000   0.106   0.115   0.225
   0.500  21.000   0.103   0.112   0.220
   0.525  21.000   0.101   0.110   0.214
   0.550  21.000   0.098   0.107   0.209
   0.575  21.000   0.096   0.105   0.204
   0.600  21.000   0.094   0.102   0.200
   0.625  21.000   0.092   0.100   0.195
   0.650  21.000   0.090   0.098   0.191
   0.675  21.000   0.088   0.096   0.187
   0.700  21.000   0.086   0.094   0.184
   0.725  21.000   0.085   0.092   0.180
   0.750  21.000   0.083   0.091   0.177
   0.775  21.000   0.082   0.089   0.174
   0.800  22.000   0.081   0.088   0.172
   0.825  22.000   0.080   0.086   0.169
   0.850  22.000   0.079   0.085   0.167
   0.875  22.000   0.078   0.084   0.164
   0.900  22.000   0.078   0.084   0.164
   0.925  22.000   0.078   0.084   0.164
   0.950  22.000   0.078   0.084   0.164
   0.975  22.000   0.078   0.084   0.164
   1.000  22.000   0.078   0.084   0.165
