  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  28.000   0.131   0.133   0.265
   0.025  26.000   0.133   0.136   0.270
   0.050  24.000   0.135   0.137   0.273
   0.075  24.000   0.135   0.138   0.274
   0.100  24.000   0.135   0.137   0.273
   0.125  24.000   0.135   0.136   0.271
   0.150  21.000   0.135   0.135   0.270
   0.175  21.000   0.135   0.136   0.271
   0.200  23.000   0.134   0.136   0.271
   0.225  23.000   0.132   0.136   0.270
   0.250  22.000   0.130   0.135   0.268
   0.275  22.000   0.127   0.134   0.264
   0.300  21.000   0.124   0.132   0.259
   0.325  22.000   0.121   0.129   0.254
   0.350  22.000   0.118   0.126   0.248
   0.375  22.000   0.115   0.123   0.242
   0.400  23.000   0.112   0.120   0.236
   0.425  23.000   0.109   0.117   0.230
   0.450  23.000   0.106   0.114   0.224
   0.475  23.000   0.103   0.111   0.218
   0.500  23.000   0.100   0.109   0.212
   0.525  22.000   0.098   0.106   0.207
   0.550  21.000   0.096   0.103   0.202
   0.575  21.000   0.093   0.101   0.198
   0.600  21.000   0.091   0.099   0.193
   0.625  20.000   0.089   0.097   0.189
   0.650  20.000   0.088   0.095   0.186
   0.675  20.000   0.086   0.093   0.182
   0.700  19.000   0.085   0.091   0.179
   0.725  19.000   0.083   0.090   0.176
   0.750  19.000   0.082   0.088   0.173
   0.775  19.000   0.081   0.087   0.170
   0.800  19.000   0.080   0.086   0.168
   0.825  19.000   0.079   0.085   0.166
   0.850  19.000   0.078   0.083   0.164
   0.875  19.000   0.077   0.082   0.162
   0.900  19.000   0.077   0.083   0.162
   0.925  19.000   0.077   0.083   0.162
   0.950  19.000   0.077   0.083   0.162
   0.975  19.000   0.077   0.083   0.163
   1.000  19.000   0.077   0.083   0.163
