  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.120   0.122   0.243
   0.025  22.000   0.122   0.124   0.247
   0.050  23.000   0.124   0.125   0.250
   0.075  22.000   0.126   0.125   0.251
   0.100  22.000   0.126   0.125   0.251
   0.125  22.000   0.126   0.124   0.250
   0.150  22.000   0.124   0.124   0.248
   0.175  27.000   0.122   0.123   0.245
   0.200  26.000   0.119   0.121   0.241
   0.225  27.000   0.116   0.119   0.237
   0.250  27.000   0.112   0.117   0.231
   0.275  28.000   0.109   0.114   0.225
   0.300  28.000   0.105   0.111   0.218
   0.325  28.000   0.101   0.107   0.211
   0.350  28.000   0.097   0.103   0.203
   0.375  28.000   0.094   0.100   0.196
   0.400  28.000   0.090   0.096   0.189
   0.425  28.000   0.087   0.093   0.183
   0.450  29.000   0.084   0.090   0.177
   0.475  29.000   0.082   0.087   0.171
   0.500  29.000   0.079   0.084   0.166
   0.525  30.000   0.077   0.082   0.161
   0.550  30.000   0.075   0.079   0.156
   0.575  30.000   0.073   0.077   0.152
   0.600  30.000   0.071   0.075   0.148
   0.625  30.000   0.069   0.073   0.144
   0.650  30.000   0.068   0.072   0.141
   0.675  30.000   0.066   0.070   0.138
   0.700  30.000   0.065   0.069   0.135
   0.725  30.000   0.064   0.067   0.133
   0.750  30.000   0.063   0.066   0.130
   0.775  30.000   0.062   0.065   0.128
   0.800  30.000   0.061   0.064   0.126
   0.825  30.000   0.060   0.063   0.124
   0.850  29.000   0.059   0.062   0.122
   0.875  29.000   0.059   0.062   0.122
   0.900  28.000   0.059   0.062   0.122
   0.925  28.000   0.059   0.062   0.122
   0.950  28.000   0.059   0.062   0.122
   0.975  27.000   0.059   0.062   0.122
   1.000  27.000   0.059   0.062   0.122
