  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.126   0.128   0.255
   0.025  23.000   0.127   0.130   0.258
   0.050  22.000   0.127   0.131   0.259
   0.075  21.000   0.127   0.132   0.260
   0.100  21.000   0.127   0.132   0.261
   0.125  21.000   0.126   0.132   0.261
   0.150  21.000   0.125   0.132   0.260
   0.175  21.000   0.124   0.131   0.258
   0.200  21.000   0.122   0.130   0.256
   0.225  22.000   0.121   0.129   0.254
   0.250  23.000   0.119   0.128   0.250
   0.275  23.000   0.117   0.126   0.247
   0.300  23.000   0.115   0.124   0.243
   0.325  23.000   0.113   0.122   0.239
   0.350  23.000   0.111   0.120   0.235
   0.375  22.000   0.109   0.118   0.230
   0.400  21.000   0.106   0.116   0.226
   0.425  21.000   0.104   0.113   0.221
   0.450  21.000   0.102   0.111   0.217
   0.475  21.000   0.100   0.109   0.212
   0.500  21.000   0.098   0.107   0.208
   0.525  21.000   0.096   0.104   0.204
   0.550  21.000   0.094   0.102   0.200
   0.575  21.000   0.092   0.100   0.196
   0.600  21.000   0.090   0.098   0.192
   0.625  21.000   0.089   0.097   0.188
   0.650  21.000   0.087   0.095   0.185
   0.675  21.000   0.085   0.093   0.182
   0.700  21.000   0.084   0.092   0.179
   0.725  21.000   0.083   0.090   0.176
   0.750  21.000   0.081   0.089   0.173
   0.775  21.000   0.080   0.087   0.170
   0.800  21.000   0.079   0.086   0.168
   0.825  23.000   0.078   0.085   0.166
   0.850  23.000   0.077   0.084   0.164
   0.875  23.000   0.076   0.083   0.161
   0.900  23.000   0.075   0.082   0.160
   0.925  23.000   0.074   0.081   0.158
   0.950  23.000   0.074   0.080   0.156
   0.975  23.000   0.073   0.079   0.154
   1.000  23.000   0.073   0.079   0.155
