  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.116   0.116   0.233
   0.025  23.000   0.116   0.117   0.233
   0.050  25.000   0.116   0.117   0.233
   0.075  25.000   0.116   0.117   0.234
   0.100  25.000   0.115   0.118   0.234
   0.125  25.000   0.114   0.117   0.233
   0.150  25.000   0.112   0.117   0.231
   0.175  27.000   0.110   0.115   0.228
   0.200  27.000   0.108   0.113   0.223
   0.225  27.000   0.105   0.111   0.218
   0.250  27.000   0.102   0.108   0.213
   0.275  28.000   0.099   0.105   0.207
   0.300  28.000   0.096   0.102   0.201
   0.325  28.000   0.093   0.099   0.195
   0.350  29.000   0.090   0.096   0.189
   0.375  30.000   0.087   0.094   0.183
   0.400  30.000   0.084   0.091   0.178
   0.425  30.000   0.082   0.088   0.172
   0.450  30.000   0.079   0.085   0.167
   0.475  30.000   0.077   0.083   0.163
   0.500  30.000   0.075   0.081   0.158
   0.525  30.000   0.073   0.079   0.154
   0.550  30.000   0.071   0.077   0.150
   0.575  30.000   0.069   0.075   0.146
   0.600  30.000   0.067   0.073   0.143
   0.625  30.000   0.066   0.071   0.140
   0.650  30.000   0.065   0.070   0.137
   0.675  30.000   0.063   0.069   0.134
   0.700  30.000   0.062   0.067   0.131
   0.725  30.000   0.061   0.066   0.129
   0.750  30.000   0.060   0.065   0.127
   0.775  30.000   0.059   0.064   0.125
   0.800  30.000   0.058   0.063   0.123
   0.825  30.000   0.057   0.062   0.121
   0.850  30.000   0.056   0.061   0.119
   0.875  29.000   0.055   0.060   0.117
   0.900  29.000   0.055   0.059   0.116
   0.925  29.000   0.054   0.058   0.114
   0.950  29.000   0.054   0.058   0.114
   0.975  29.000   0.054   0.058   0.114
   1.000  29.000   0.054   0.058   0.114
