  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.097   0.000   0.246   0.000   0.000   0.211
   0.025   6.000   0.091   0.000   0.242   0.000   0.000   0.209
   0.050   6.000   0.085   0.000   0.238   0.000   0.000   0.206
   0.075   6.000   0.078   0.000   0.236   0.000   0.000   0.204
   0.100   6.000   0.071   0.000   0.235   0.000   0.000   0.203
   0.125   6.000   0.064   0.000   0.236   0.000   0.000   0.204
   0.150   6.000   0.057   0.000   0.237   0.000   0.000   0.205
   0.175   6.000   0.051   0.000   0.240   0.000   0.000   0.209
   0.200   6.000   0.045   0.000   0.243   0.000   0.000   0.213
   0.225   6.000   0.039   0.000   0.247   0.000   0.000   0.218
   0.250   6.000   0.033   0.000   0.251   0.000   0.000   0.224
   0.275   7.000   0.028   0.000   0.256   0.000   0.000   0.230
   0.300   7.000   0.024   0.000   0.260   0.000   0.000   0.237
   0.325   8.000   0.020   0.001   0.265   0.000   0.000   0.244
   0.350   8.000   0.016   0.001   0.269   0.000   0.000   0.251
   0.375   7.000   0.013   0.003   0.272   0.000   0.000   0.258
   0.400   7.000   0.010   0.004   0.275   0.000   0.000   0.265
   0.425   7.000   0.008   0.007   0.277   0.000   0.000   0.271
   0.450   7.000   0.007   0.011   0.278   0.000   0.000   0.276
   0.475   8.000   0.005   0.016   0.277   0.000   0.000   0.282
   0.500   8.000   0.004   0.021   0.276   0.000   0.000   0.286
   0.525   8.000   0.004   0.027   0.274   0.000   0.000   0.291
   0.550   8.000   0.003   0.034   0.271   0.000   0.000   0.295
   0.575   8.000   0.002   0.041   0.267   0.000   0.000   0.299
   0.600   8.000   0.002   0.048   0.264   0.000   0.000   0.303
   0.625   8.000   0.002   0.056   0.260   0.000   0.000   0.306
   0.650   8.000   0.001   0.064   0.256   0.000   0.000   0.309
   0.675   8.000   0.001   0.071   0.252   0.000   0.000   0.312
   0.700   8.000   0.001   0.078   0.248   0.000   0.000   0.315
   0.725   8.000   0.001   0.085   0.244   0.000   0.000   0.318
   0.750   8.000   0.001   0.092   0.240   0.000   0.000   0.321
   0.775   8.000   0.001   0.099   0.236   0.000   0.000   0.323
   0.800   8.000   0.001   0.105   0.232   0.000   0.000   0.326
   0.825   8.000   0.000   0.111   0.229   0.000   0.000   0.328
   0.850   8.000   0.000   0.117   0.226   0.000   0.000   0.330
   0.875   8.000   0.000   0.122   0.223   0.000   0.000   0.332
   0.900   8.000   0.000   0.127   0.220   0.000   0.000   0.334
   0.925   8.000   0.000   0.132   0.217   0.000   0.000   0.336
   0.950   8.000   0.000   0.137   0.214   0.000   0.000   0.338
   0.975   8.000   0.000   0.141   0.212   0.000   0.000   0.340
   1.000   8.000   0.000   0.145   0.210   0.000   0.000   0.341
