  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.113   0.166   0.007   0.069   0.012   0.112
   0.025   6.000   0.111   0.168   0.006   0.064   0.013   0.117
   0.050   6.000   0.109   0.170   0.006   0.058   0.015   0.124
   0.075   6.000   0.106   0.172   0.005   0.051   0.016   0.133
   0.100   7.000   0.102   0.173   0.005   0.044   0.017   0.141
   0.125   7.000   0.096   0.174   0.004   0.039   0.017   0.146
   0.150   7.000   0.090   0.177   0.003   0.036   0.017   0.151
   0.175   7.000   0.084   0.182   0.003   0.034   0.016   0.155
   0.200   7.000   0.078   0.187   0.002   0.033   0.015   0.160
   0.225   7.000   0.073   0.194   0.002   0.032   0.014   0.165
   0.250   7.000   0.067   0.201   0.001   0.032   0.013   0.171
   0.275   7.000   0.062   0.209   0.001   0.032   0.012   0.178
   0.300   7.000   0.058   0.218   0.001   0.032   0.011   0.186
   0.325   6.000   0.053   0.227   0.000   0.032   0.010   0.194
   0.350   6.000   0.049   0.236   0.000   0.032   0.008   0.202
   0.375   5.000   0.044   0.245   0.000   0.031   0.007   0.211
   0.400   5.000   0.040   0.255   0.000   0.030   0.006   0.219
   0.425   5.000   0.036   0.265   0.000   0.029   0.005   0.228
   0.450   5.000   0.032   0.275   0.000   0.028   0.004   0.237
   0.475   5.000   0.029   0.284   0.000   0.026   0.003   0.246
   0.500   5.000   0.025   0.294   0.000   0.024   0.002   0.255
   0.525   5.000   0.021   0.303   0.000   0.022   0.001   0.263
   0.550   6.000   0.018   0.311   0.000   0.020   0.001   0.271
   0.575   5.000   0.015   0.320   0.000   0.017   0.001   0.279
   0.600   4.000   0.012   0.327   0.000   0.015   0.000   0.287
   0.625   4.000   0.010   0.335   0.000   0.012   0.000   0.294
   0.650   5.000   0.008   0.341   0.000   0.010   0.000   0.301
   0.675   5.000   0.006   0.347   0.000   0.007   0.000   0.307
   0.700   5.000   0.004   0.352   0.000   0.006   0.000   0.313
   0.725   5.000   0.003   0.356   0.000   0.004   0.000   0.319
   0.750   5.000   0.002   0.360   0.000   0.003   0.000   0.323
   0.775   6.000   0.001   0.363   0.000   0.002   0.000   0.328
   0.800   6.000   0.001   0.365   0.001   0.001   0.000   0.331
   0.825   6.000   0.001   0.366   0.002   0.001   0.000   0.335
   0.850   6.000   0.000   0.367   0.003   0.001   0.000   0.337
   0.875   7.000   0.000   0.366   0.004   0.000   0.000   0.340
   0.900   7.000   0.000   0.366   0.006   0.000   0.000   0.342
   0.925   7.000   0.000   0.364   0.008   0.000   0.000   0.344
   0.950   8.000   0.000   0.362   0.011   0.000   0.000   0.345
   0.975   8.000   0.000   0.359   0.015   0.000   0.000   0.346
   1.000   9.000   0.000   0.355   0.019   0.000   0.000   0.347
