  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.111   0.109   0.219
   0.025  22.000   0.112   0.111   0.222
   0.050  23.000   0.113   0.112   0.224
   0.075  23.000   0.113   0.112   0.225
   0.100  25.000   0.112   0.113   0.225
   0.125  26.000   0.111   0.112   0.224
   0.150  26.000   0.110   0.111   0.222
   0.175  28.000   0.108   0.110   0.219
   0.200  28.000   0.106   0.109   0.215
   0.225  27.000   0.103   0.107   0.211
   0.250  26.000   0.100   0.105   0.207
   0.275  26.000   0.098   0.102   0.202
   0.300  26.000   0.095   0.100   0.197
   0.325  26.000   0.092   0.098   0.192
   0.350  26.000   0.090   0.095   0.187
   0.375  26.000   0.087   0.093   0.182
   0.400  26.000   0.085   0.090   0.177
   0.425  26.000   0.082   0.088   0.172
   0.450  26.000   0.080   0.085   0.168
   0.475  27.000   0.078   0.083   0.163
   0.500  28.000   0.076   0.081   0.159
   0.525  28.000   0.074   0.079   0.155
   0.550  28.000   0.072   0.077   0.152
   0.575  28.000   0.070   0.076   0.148
   0.600  28.000   0.069   0.074   0.145
   0.625  28.000   0.067   0.072   0.142
   0.650  28.000   0.066   0.071   0.139
   0.675  28.000   0.064   0.069   0.136
   0.700  28.000   0.063   0.068   0.133
   0.725  28.000   0.062   0.067   0.131
   0.750  28.000   0.061   0.066   0.129
   0.775  28.000   0.060   0.065   0.127
   0.800  28.000   0.059   0.064   0.125
   0.825  28.000   0.058   0.063   0.123
   0.850  28.000   0.057   0.062   0.121
   0.875  28.000   0.056   0.061   0.119
   0.900  28.000   0.056   0.060   0.118
   0.925  28.000   0.055   0.059   0.116
   0.950  28.000   0.054   0.059   0.115
   0.975  28.000   0.054   0.058   0.113
   1.000  28.000   0.054   0.058   0.113
