  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.042   0.000   0.211   0.020   0.139   0.000   0.087
   0.025   6.000   0.039   0.000   0.212   0.021   0.139   0.000   0.086
   0.050   6.000   0.036   0.000   0.215   0.023   0.139   0.000   0.086
   0.075   6.000   0.033   0.000   0.219   0.026   0.139   0.000   0.088
   0.100   6.000   0.029   0.000   0.224   0.030   0.138   0.000   0.092
   0.125   6.000   0.026   0.000   0.229   0.034   0.137   0.000   0.097
   0.150   6.000   0.022   0.000   0.232   0.037   0.136   0.000   0.102
   0.175   6.000   0.019   0.000   0.232   0.040   0.134   0.000   0.105
   0.200   6.000   0.015   0.001   0.230   0.042   0.134   0.000   0.106
   0.225   6.000   0.012   0.002   0.229   0.043   0.135   0.000   0.106
   0.250   5.000   0.009   0.003   0.227   0.044   0.137   0.000   0.106
   0.275   5.000   0.007   0.005   0.226   0.044   0.141   0.000   0.105
   0.300   5.000   0.006   0.008   0.223   0.045   0.146   0.000   0.104
   0.325   6.000   0.004   0.012   0.221   0.045   0.152   0.000   0.103
   0.350   6.000   0.003   0.017   0.218   0.046   0.159   0.000   0.102
   0.375   6.000   0.003   0.022   0.214   0.046   0.167   0.000   0.100
   0.400   7.000   0.002   0.028   0.211   0.046   0.175   0.000   0.097
   0.425   7.000   0.002   0.034   0.208   0.046   0.183   0.000   0.095
   0.450   7.000   0.001   0.040   0.205   0.046   0.193   0.000   0.092
   0.475   7.000   0.001   0.046   0.202   0.047   0.203   0.000   0.088
   0.500   6.000   0.001   0.051   0.199   0.047   0.213   0.000   0.084
   0.525   6.000   0.001   0.057   0.196   0.047   0.224   0.000   0.079
   0.550   6.000   0.001   0.062   0.194   0.047   0.235   0.000   0.074
   0.575   6.000   0.001   0.068   0.192   0.047   0.246   0.000   0.068
   0.600   6.000   0.001   0.072   0.190   0.047   0.258   0.000   0.062
   0.625   5.000   0.001   0.077   0.189   0.047   0.269   0.000   0.055
   0.650   5.000   0.000   0.082   0.187   0.046   0.281   0.000   0.049
   0.675   5.000   0.000   0.086   0.186   0.046   0.292   0.000   0.042
   0.700   5.000   0.000   0.090   0.185   0.045   0.304   0.000   0.036
   0.725   5.000   0.000   0.094   0.184   0.044   0.315   0.000   0.030
   0.750   4.000   0.000   0.098   0.184   0.042   0.325   0.000   0.024
   0.775   4.000   0.000   0.101   0.183   0.040   0.335   0.000   0.019
   0.800   4.000   0.000   0.105   0.183   0.038   0.344   0.000   0.015
   0.825   4.000   0.000   0.108   0.182   0.036   0.353   0.000   0.012
   0.850   4.000   0.000   0.111   0.181   0.034   0.360   0.000   0.010
   0.875   4.000   0.000   0.113   0.180   0.031   0.367   0.000   0.009
   0.900   4.000   0.000   0.115   0.178   0.029   0.372   0.000   0.009
   0.925   4.000   0.000   0.117   0.177   0.027   0.377   0.000   0.010
   0.950   4.000   0.000   0.117   0.174   0.025   0.380   0.000   0.013
   0.975   4.000   0.000   0.118   0.171   0.023   0.382   0.000   0.016
   1.000   4.000   0.000   0.117   0.168   0.021   0.383   0.001   0.021
