  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.000   0.100   0.003   0.272   0.022   0.098
   0.025   6.000   0.000   0.094   0.003   0.263   0.022   0.100
   0.050   6.000   0.000   0.089   0.003   0.255   0.022   0.104
   0.075   6.000   0.000   0.085   0.003   0.248   0.022   0.107
   0.100   6.000   0.000   0.082   0.003   0.242   0.022   0.111
   0.125   6.000   0.000   0.080   0.003   0.237   0.022   0.115
   0.150   6.000   0.000   0.078   0.003   0.233   0.022   0.120
   0.175   7.000   0.000   0.077   0.003   0.230   0.022   0.125
   0.200   7.000   0.000   0.077   0.003   0.228   0.023   0.130
   0.225   7.000   0.000   0.077   0.003   0.226   0.023   0.136
   0.250   8.000   0.000   0.077   0.004   0.226   0.023   0.142
   0.275   8.000   0.000   0.077   0.004   0.226   0.024   0.149
   0.300   8.000   0.000   0.078   0.004   0.226   0.024   0.156
   0.325   8.000   0.000   0.078   0.004   0.227   0.025   0.163
   0.350   8.000   0.000   0.079   0.004   0.228   0.025   0.171
   0.375   8.000   0.000   0.079   0.004   0.230   0.026   0.179
   0.400   8.000   0.000   0.080   0.004   0.231   0.026   0.187
   0.425   8.000   0.000   0.080   0.004   0.233   0.026   0.195
   0.450   8.000   0.000   0.081   0.004   0.234   0.027   0.203
   0.475   8.000   0.000   0.081   0.004   0.236   0.027   0.211
   0.500   8.000   0.000   0.081   0.004   0.238   0.028   0.220
   0.525   8.000   0.000   0.081   0.003   0.239   0.028   0.227
   0.550   8.000   0.000   0.081   0.003   0.240   0.029   0.235
   0.575   8.000   0.000   0.080   0.003   0.241   0.029   0.243
   0.600   8.000   0.000   0.080   0.003   0.242   0.029   0.250
   0.625   8.000   0.000   0.080   0.003   0.243   0.030   0.257
   0.650   8.000   0.000   0.079   0.003   0.244   0.030   0.264
   0.675   8.000   0.000   0.079   0.002   0.244   0.031   0.271
   0.700   9.000   0.000   0.078   0.002   0.245   0.031   0.277
   0.725   9.000   0.000   0.078   0.002   0.245   0.032   0.283
   0.750   9.000   0.000   0.077   0.002   0.245   0.032   0.289
   0.775   9.000   0.000   0.076   0.002   0.245   0.033   0.294
   0.800   9.000   0.000   0.076   0.002   0.245   0.033   0.299
   0.825   9.000   0.000   0.075   0.001   0.245   0.034   0.304
   0.850   9.000   0.000   0.075   0.001   0.245   0.034   0.308
   0.875   9.000   0.000   0.074   0.001   0.245   0.035   0.313
   0.900   8.000   0.000   0.074   0.001   0.245   0.035   0.317
   0.925   8.000   0.000   0.074   0.001   0.245   0.036   0.320
   0.950   8.000   0.000   0.073   0.001   0.243   0.036   0.322
   0.975   8.000   0.000   0.072   0.001   0.242   0.037   0.322
   1.000   8.000   0.000   0.072   0.001   0.241   0.037   0.323
