TEXTURE AT STRAIN =    0.3000
   1.467   1.593   0.408  <-- length of phase ellipsoid axes
  -44.37    1.18  177.49  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
  136.45   58.71 -136.45   0.0003500
