  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.083   0.000   0.164   0.039   0.158   0.055
   0.025   6.000   0.082   0.000   0.158   0.036   0.162   0.056
   0.050   7.000   0.082   0.000   0.154   0.033   0.167   0.057
   0.075   7.000   0.083   0.000   0.150   0.029   0.171   0.058
   0.100   7.000   0.082   0.000   0.145   0.025   0.173   0.057
   0.125   7.000   0.080   0.000   0.141   0.022   0.174   0.054
   0.150   7.000   0.079   0.000   0.138   0.020   0.178   0.050
   0.175   7.000   0.078   0.000   0.136   0.019   0.182   0.046
   0.200   7.000   0.079   0.000   0.134   0.018   0.189   0.042
   0.225   7.000   0.080   0.001   0.134   0.018   0.196   0.038
   0.250   7.000   0.081   0.001   0.134   0.018   0.203   0.035
   0.275   6.000   0.083   0.001   0.134   0.019   0.211   0.033
   0.300   5.000   0.085   0.001   0.135   0.019   0.219   0.031
   0.325   5.000   0.088   0.001   0.135   0.020   0.228   0.030
   0.350   5.000   0.090   0.001   0.136   0.021   0.235   0.029
   0.375   6.000   0.093   0.001   0.136   0.022   0.243   0.029
   0.400   6.000   0.095   0.001   0.137   0.023   0.250   0.030
   0.425   6.000   0.097   0.002   0.137   0.024   0.257   0.032
   0.450   6.000   0.099   0.002   0.137   0.024   0.262   0.035
   0.475   6.000   0.101   0.002   0.136   0.025   0.268   0.039
   0.500   6.000   0.102   0.002   0.136   0.026   0.272   0.043
   0.525   6.000   0.104   0.002   0.135   0.027   0.276   0.048
   0.550   6.000   0.104   0.002   0.133   0.027   0.279   0.055
   0.575   6.000   0.105   0.002   0.132   0.028   0.282   0.062
   0.600   6.000   0.104   0.003   0.130   0.028   0.284   0.070
   0.625   7.000   0.104   0.003   0.128   0.029   0.285   0.078
   0.650   7.000   0.104   0.003   0.126   0.029   0.286   0.087
   0.675   7.000   0.103   0.003   0.123   0.030   0.287   0.096
   0.700   7.000   0.101   0.003   0.121   0.030   0.287   0.106
   0.725   8.000   0.100   0.003   0.118   0.030   0.287   0.116
   0.750   8.000   0.099   0.003   0.115   0.031   0.286   0.126
   0.775   8.000   0.097   0.003   0.112   0.031   0.285   0.136
   0.800   8.000   0.095   0.003   0.109   0.031   0.284   0.146
   0.825   9.000   0.093   0.003   0.106   0.032   0.283   0.157
   0.850   9.000   0.091   0.003   0.103   0.032   0.282   0.167
   0.875   9.000   0.089   0.003   0.100   0.032   0.280   0.177
   0.900   9.000   0.087   0.003   0.097   0.033   0.279   0.187
   0.925   9.000   0.085   0.003   0.094   0.033   0.277   0.197
   0.950   9.000   0.083   0.003   0.090   0.033   0.274   0.206
   0.975   9.000   0.080   0.003   0.087   0.033   0.271   0.214
   1.000   9.000   0.078   0.003   0.083   0.034   0.268   0.222
