  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.106   0.110   0.218
   0.025  21.000   0.107   0.111   0.219
   0.050  22.000   0.108   0.110   0.219
   0.075  21.000   0.108   0.110   0.219
   0.100  24.000   0.108   0.110   0.219
   0.125  26.000   0.107   0.110   0.218
   0.150  25.000   0.106   0.110   0.217
   0.175  26.000   0.104   0.109   0.216
   0.200  26.000   0.102   0.108   0.213
   0.225  26.000   0.099   0.106   0.209
   0.250  26.000   0.096   0.104   0.204
   0.275  27.000   0.093   0.101   0.198
   0.300  28.000   0.090   0.098   0.192
   0.325  29.000   0.088   0.095   0.186
   0.350  29.000   0.085   0.092   0.180
   0.375  29.000   0.082   0.089   0.174
   0.400  29.000   0.079   0.086   0.168
   0.425  29.000   0.077   0.083   0.162
   0.450  28.000   0.074   0.080   0.157
   0.475  27.000   0.072   0.077   0.152
   0.500  26.000   0.070   0.075   0.147
   0.525  26.000   0.068   0.073   0.142
   0.550  27.000   0.066   0.071   0.138
   0.575  27.000   0.064   0.069   0.135
   0.600  29.000   0.062   0.067   0.131
   0.625  28.000   0.061   0.065   0.128
   0.650  29.000   0.059   0.064   0.125
   0.675  28.000   0.058   0.063   0.123
   0.700  28.000   0.057   0.062   0.121
   0.725  27.000   0.056   0.061   0.119
   0.750  28.000   0.056   0.060   0.117
   0.775  27.000   0.056   0.059   0.116
   0.800  27.000   0.056   0.059   0.116
   0.825  27.000   0.057   0.058   0.116
   0.850  24.000   0.058   0.058   0.116
   0.875  22.000   0.059   0.058   0.117
   0.900  21.000   0.059   0.058   0.117
   0.925  22.000   0.060   0.059   0.118
   0.950  22.000   0.060   0.059   0.119
   0.975  23.000   0.060   0.060   0.120
   1.000  23.000   0.060   0.061   0.121
