  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   5.000   0.000   0.225   0.056   0.030   0.000   0.009   0.149
   0.025   5.000   0.000   0.227   0.051   0.029   0.000   0.008   0.151
   0.050   5.000   0.000   0.230   0.046   0.028   0.000   0.008   0.155
   0.075   5.000   0.000   0.234   0.042   0.027   0.000   0.007   0.160
   0.100   5.000   0.000   0.238   0.038   0.026   0.000   0.006   0.165
   0.125   5.000   0.000   0.243   0.034   0.026   0.000   0.006   0.172
   0.150   5.000   0.000   0.249   0.031   0.025   0.000   0.005   0.180
   0.175   5.000   0.000   0.256   0.027   0.025   0.000   0.004   0.188
   0.200   6.000   0.000   0.263   0.024   0.024   0.000   0.004   0.197
   0.225   6.000   0.000   0.271   0.021   0.023   0.000   0.003   0.207
   0.250   6.000   0.000   0.278   0.018   0.022   0.000   0.003   0.216
   0.275   6.000   0.000   0.286   0.015   0.021   0.000   0.003   0.226
   0.300   5.000   0.000   0.293   0.013   0.020   0.000   0.002   0.236
   0.325   5.000   0.000   0.301   0.010   0.019   0.000   0.002   0.245
   0.350   5.000   0.000   0.307   0.008   0.017   0.000   0.002   0.255
   0.375   4.000   0.000   0.313   0.006   0.015   0.000   0.001   0.264
   0.400   4.000   0.000   0.318   0.004   0.013   0.000   0.001   0.273
   0.425   4.000   0.000   0.323   0.003   0.012   0.000   0.001   0.281
   0.450   5.000   0.000   0.327   0.002   0.010   0.000   0.001   0.288
   0.475   6.000   0.001   0.330   0.001   0.008   0.000   0.001   0.295
   0.500   6.000   0.001   0.332   0.001   0.006   0.000   0.000   0.302
   0.525   7.000   0.001   0.334   0.000   0.005   0.000   0.000   0.308
   0.550   7.000   0.002   0.335   0.000   0.004   0.000   0.000   0.314
   0.575   7.000   0.002   0.336   0.000   0.003   0.000   0.000   0.319
   0.600   7.000   0.003   0.337   0.000   0.002   0.000   0.000   0.324
   0.625   7.000   0.004   0.338   0.000   0.002   0.000   0.000   0.329
   0.650   7.000   0.005   0.338   0.000   0.001   0.000   0.000   0.333
   0.675   7.000   0.007   0.339   0.000   0.001   0.000   0.000   0.338
   0.700   7.000   0.008   0.340   0.000   0.001   0.000   0.000   0.343
   0.725   7.000   0.010   0.341   0.000   0.000   0.000   0.000   0.347
   0.750   7.000   0.013   0.342   0.000   0.000   0.000   0.000   0.352
   0.775   7.000   0.016   0.343   0.000   0.000   0.000   0.000   0.356
   0.800   8.000   0.019   0.343   0.000   0.000   0.000   0.000   0.360
   0.825   8.000   0.024   0.342   0.000   0.000   0.000   0.000   0.363
   0.850   8.000   0.029   0.341   0.000   0.000   0.000   0.000   0.366
   0.875   8.000   0.034   0.338   0.000   0.000   0.000   0.000   0.368
   0.900   8.000   0.040   0.335   0.000   0.000   0.000   0.000   0.368
   0.925   8.000   0.046   0.331   0.000   0.000   0.000   0.000   0.369
   0.950   7.000   0.052   0.327   0.000   0.000   0.000   0.000   0.369
   0.975   8.000   0.058   0.323   0.000   0.000   0.000   0.000   0.370
   1.000   8.000   0.064   0.318   0.000   0.000   0.000   0.000   0.370
