  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.000   0.201   0.050   0.113   0.000   0.051   0.094
   0.025   6.000   0.000   0.202   0.046   0.116   0.000   0.050   0.093
   0.050   6.000   0.000   0.203   0.042   0.119   0.000   0.051   0.093
   0.075   6.000   0.000   0.206   0.039   0.123   0.000   0.051   0.093
   0.100   6.000   0.000   0.209   0.037   0.129   0.000   0.052   0.093
   0.125   6.000   0.000   0.212   0.034   0.135   0.000   0.054   0.094
   0.150   6.000   0.000   0.217   0.032   0.143   0.000   0.056   0.094
   0.175   6.000   0.000   0.222   0.030   0.152   0.000   0.058   0.094
   0.200   6.000   0.000   0.227   0.028   0.162   0.000   0.061   0.094
   0.225   6.000   0.000   0.233   0.026   0.172   0.000   0.063   0.093
   0.250   6.000   0.000   0.239   0.023   0.183   0.000   0.066   0.092
   0.275   6.000   0.000   0.245   0.021   0.195   0.000   0.069   0.089
   0.300   6.000   0.000   0.251   0.018   0.207   0.000   0.073   0.086
   0.325   6.000   0.000   0.257   0.015   0.220   0.000   0.076   0.082
   0.350   5.000   0.000   0.263   0.013   0.232   0.000   0.079   0.077
   0.375   5.000   0.000   0.268   0.010   0.245   0.000   0.082   0.071
   0.400   5.000   0.000   0.272   0.008   0.258   0.000   0.085   0.065
   0.425   5.000   0.000   0.276   0.005   0.271   0.000   0.088   0.058
   0.450   5.000   0.000   0.280   0.004   0.284   0.000   0.092   0.050
   0.475   4.000   0.000   0.282   0.002   0.296   0.000   0.095   0.043
   0.500   4.000   0.001   0.284   0.001   0.307   0.000   0.098   0.035
   0.525   4.000   0.001   0.285   0.000   0.317   0.000   0.100   0.027
   0.550   3.000   0.002   0.285   0.000   0.326   0.000   0.102   0.021
   0.575   3.000   0.003   0.284   0.000   0.333   0.000   0.103   0.016
   0.600   3.000   0.004   0.282   0.000   0.340   0.000   0.103   0.013
   0.625   3.000   0.006   0.279   0.000   0.345   0.000   0.102   0.011
   0.650   3.000   0.008   0.275   0.000   0.349   0.000   0.100   0.012
   0.675   3.000   0.011   0.270   0.000   0.353   0.000   0.098   0.014
   0.700   3.000   0.013   0.265   0.000   0.357   0.000   0.095   0.017
   0.725   3.000   0.015   0.259   0.000   0.360   0.000   0.091   0.022
   0.750   3.000   0.017   0.253   0.000   0.363   0.000   0.087   0.029
   0.775   4.000   0.019   0.246   0.000   0.365   0.000   0.083   0.036
   0.800   4.000   0.021   0.240   0.000   0.367   0.000   0.078   0.045
   0.825   5.000   0.022   0.233   0.000   0.369   0.000   0.074   0.054
   0.850   6.000   0.022   0.227   0.000   0.370   0.000   0.069   0.064
   0.875   6.000   0.023   0.221   0.000   0.370   0.000   0.065   0.075
   0.900   6.000   0.023   0.215   0.000   0.371   0.000   0.061   0.086
   0.925   6.000   0.023   0.209   0.000   0.371   0.000   0.057   0.097
   0.950   6.000   0.022   0.203   0.000   0.370   0.000   0.053   0.109
   0.975   6.000   0.022   0.198   0.000   0.369   0.000   0.050   0.120
   1.000   6.000   0.021   0.193   0.000   0.368   0.000   0.047   0.132
