  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  28.000   0.125   0.118   0.240
   0.025  27.000   0.126   0.119   0.242
   0.050  26.000   0.126   0.119   0.242
   0.075  26.000   0.125   0.118   0.241
   0.100  25.000   0.123   0.117   0.238
   0.125  24.000   0.121   0.116   0.234
   0.150  22.000   0.117   0.114   0.230
   0.175  21.000   0.113   0.113   0.225
   0.200  20.000   0.109   0.111   0.221
   0.225  18.000   0.106   0.109   0.216
   0.250  19.000   0.102   0.108   0.212
   0.275  19.000   0.099   0.106   0.207
   0.300  19.000   0.095   0.103   0.202
   0.325  16.000   0.093   0.101   0.197
   0.350  14.000   0.092   0.100   0.195
   0.375  17.000   0.092   0.100   0.195
   0.400  20.000   0.093   0.100   0.196
   0.425  20.000   0.093   0.101   0.197
   0.450  20.000   0.093   0.100   0.197
   0.475  20.000   0.093   0.100   0.196
   0.500  20.000   0.092   0.099   0.194
   0.525  20.000   0.091   0.098   0.191
   0.550  20.000   0.089   0.096   0.189
   0.575  21.000   0.088   0.095   0.185
   0.600  23.000   0.086   0.093   0.182
   0.625  23.000   0.084   0.091   0.179
   0.650  23.000   0.083   0.090   0.175
   0.675  23.000   0.081   0.088   0.172
   0.700  22.000   0.080   0.086   0.169
   0.725  22.000   0.079   0.085   0.167
   0.750  21.000   0.078   0.084   0.164
   0.775  21.000   0.078   0.083   0.162
   0.800  21.000   0.078   0.082   0.161
   0.825  21.000   0.078   0.081   0.160
   0.850  20.000   0.078   0.081   0.159
   0.875  20.000   0.078   0.080   0.159
   0.900  21.000   0.078   0.080   0.159
   0.925  21.000   0.078   0.080   0.159
   0.950  21.000   0.078   0.080   0.158
   0.975  21.000   0.078   0.080   0.158
   1.000  21.000   0.078   0.080   0.158
