  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.000   0.193   0.219   0.000   0.087   0.058
   0.025   6.000   0.000   0.193   0.222   0.000   0.089   0.054
   0.050   6.000   0.000   0.194   0.227   0.000   0.091   0.050
   0.075   6.000   0.000   0.196   0.234   0.000   0.095   0.046
   0.100   6.000   0.000   0.198   0.241   0.000   0.098   0.041
   0.125   6.000   0.000   0.200   0.248   0.000   0.101   0.035
   0.150   6.000   0.000   0.203   0.255   0.000   0.104   0.030
   0.175   6.000   0.000   0.205   0.260   0.000   0.105   0.025
   0.200   4.000   0.000   0.208   0.265   0.000   0.106   0.021
   0.225   4.000   0.000   0.210   0.269   0.000   0.107   0.018
   0.250   4.000   0.000   0.213   0.274   0.000   0.107   0.016
   0.275   4.000   0.000   0.216   0.279   0.000   0.108   0.014
   0.300   4.000   0.000   0.219   0.284   0.000   0.108   0.014
   0.325   4.000   0.000   0.221   0.289   0.000   0.108   0.014
   0.350   4.000   0.000   0.224   0.294   0.000   0.108   0.015
   0.375   3.000   0.000   0.226   0.300   0.000   0.108   0.017
   0.400   3.000   0.000   0.227   0.304   0.000   0.107   0.020
   0.425   3.000   0.000   0.228   0.309   0.000   0.106   0.024
   0.450   3.000   0.000   0.228   0.313   0.000   0.105   0.029
   0.475   4.000   0.000   0.227   0.317   0.000   0.103   0.036
   0.500   4.000   0.000   0.225   0.321   0.000   0.101   0.043
   0.525   4.000   0.000   0.222   0.324   0.000   0.099   0.050
   0.550   5.000   0.000   0.219   0.326   0.000   0.096   0.059
   0.575   5.000   0.000   0.215   0.328   0.000   0.093   0.068
   0.600   5.000   0.001   0.210   0.330   0.000   0.090   0.078
   0.625   5.000   0.001   0.206   0.331   0.000   0.087   0.088
   0.650   6.000   0.001   0.201   0.332   0.000   0.084   0.099
   0.675   6.000   0.001   0.196   0.332   0.000   0.081   0.109
   0.700   6.000   0.001   0.192   0.333   0.000   0.077   0.120
   0.725   6.000   0.002   0.187   0.332   0.000   0.074   0.130
   0.750   6.000   0.002   0.183   0.332   0.000   0.071   0.141
   0.775   6.000   0.002   0.178   0.331   0.000   0.068   0.152
   0.800   6.000   0.002   0.174   0.330   0.000   0.066   0.163
   0.825   6.000   0.002   0.170   0.329   0.000   0.063   0.173
   0.850   7.000   0.002   0.166   0.328   0.000   0.061   0.184
   0.875   7.000   0.002   0.162   0.326   0.000   0.059   0.194
   0.900   7.000   0.002   0.158   0.325   0.000   0.057   0.204
   0.925   7.000   0.002   0.155   0.323   0.000   0.055   0.214
   0.950   8.000   0.002   0.151   0.321   0.000   0.053   0.223
   0.975   8.000   0.002   0.148   0.319   0.000   0.051   0.233
   1.000   8.000   0.002   0.144   0.317   0.000   0.050   0.242
