  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   9.000   0.023   0.000   0.067   0.035   0.224   0.121
   0.025   9.000   0.023   0.000   0.065   0.033   0.217   0.125
   0.050   9.000   0.022   0.000   0.063   0.032   0.212   0.129
   0.075   9.000   0.022   0.000   0.062   0.031   0.207   0.135
   0.100   9.000   0.022   0.000   0.061   0.030   0.204   0.142
   0.125   9.000   0.022   0.000   0.061   0.029   0.202   0.150
   0.150   9.000   0.022   0.000   0.062   0.028   0.202   0.159
   0.175   9.000   0.022   0.000   0.062   0.028   0.202   0.170
   0.200   9.000   0.022   0.000   0.063   0.027   0.203   0.181
   0.225  10.000   0.022   0.000   0.065   0.026   0.205   0.193
   0.250  10.000   0.022   0.000   0.066   0.026   0.207   0.206
   0.275  10.000   0.022   0.000   0.067   0.026   0.209   0.219
   0.300  10.000   0.021   0.000   0.068   0.025   0.211   0.231
   0.325  11.000   0.021   0.000   0.069   0.025   0.213   0.244
   0.350  11.000   0.021   0.000   0.070   0.025   0.214   0.256
   0.375  11.000   0.020   0.000   0.070   0.025   0.216   0.269
   0.400  11.000   0.020   0.000   0.071   0.024   0.218   0.280
   0.425  11.000   0.020   0.000   0.071   0.024   0.219   0.292
   0.450  12.000   0.019   0.000   0.071   0.024   0.220   0.303
   0.475  12.000   0.019   0.000   0.071   0.024   0.221   0.314
   0.500  12.000   0.018   0.000   0.071   0.024   0.222   0.324
   0.525  12.000   0.018   0.000   0.070   0.024   0.222   0.334
   0.550  12.000   0.018   0.000   0.070   0.024   0.222   0.343
   0.575  12.000   0.017   0.000   0.070   0.024   0.223   0.352
   0.600  13.000   0.017   0.000   0.069   0.024   0.223   0.360
   0.625  13.000   0.016   0.000   0.069   0.024   0.223   0.369
   0.650  13.000   0.016   0.000   0.068   0.024   0.223   0.376
   0.675  13.000   0.016   0.000   0.067   0.024   0.223   0.384
   0.700  13.000   0.015   0.000   0.067   0.024   0.222   0.391
   0.725  13.000   0.015   0.000   0.066   0.024   0.222   0.398
   0.750  13.000   0.015   0.000   0.066   0.024   0.222   0.404
   0.775  13.000   0.014   0.000   0.065   0.024   0.222   0.410
   0.800  13.000   0.014   0.000   0.065   0.023   0.221   0.416
   0.825  13.000   0.014   0.000   0.064   0.023   0.221   0.422
   0.850  13.000   0.014   0.000   0.063   0.023   0.221   0.427
   0.875  13.000   0.013   0.000   0.063   0.023   0.220   0.432
   0.900  13.000   0.013   0.000   0.063   0.023   0.220   0.437
   0.925  13.000   0.013   0.000   0.062   0.023   0.219   0.440
   0.950  13.000   0.013   0.000   0.061   0.023   0.218   0.443
   0.975  13.000   0.012   0.000   0.060   0.023   0.217   0.445
   1.000  13.000   0.012   0.000   0.060   0.023   0.216   0.448
