  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   3.000   0.000   0.077   0.151   0.009   0.330   0.001   0.014
   0.025   3.000   0.000   0.079   0.147   0.010   0.339   0.001   0.012
   0.050   3.000   0.000   0.082   0.143   0.012   0.347   0.001   0.009
   0.075   3.000   0.000   0.085   0.138   0.013   0.355   0.001   0.008
   0.100   3.000   0.000   0.087   0.130   0.014   0.354   0.001   0.007
   0.125   3.000   0.000   0.088   0.120   0.014   0.345   0.001   0.009
   0.150   3.000   0.000   0.089   0.111   0.015   0.336   0.001   0.011
   0.175   3.000   0.000   0.088   0.105   0.015   0.328   0.001   0.014
   0.200   3.000   0.000   0.088   0.101   0.015   0.321   0.001   0.017
   0.225   3.000   0.000   0.088   0.098   0.015   0.316   0.001   0.020
   0.250   3.000   0.000   0.088   0.095   0.015   0.311   0.001   0.023
   0.275   3.000   0.000   0.088   0.094   0.015   0.307   0.001   0.026
   0.300   3.000   0.000   0.087   0.093   0.014   0.304   0.001   0.030
   0.325   3.000   0.000   0.087   0.093   0.014   0.302   0.001   0.034
   0.350   3.000   0.000   0.087   0.092   0.014   0.300   0.001   0.038
   0.375   3.000   0.000   0.088   0.092   0.014   0.299   0.001   0.042
   0.400   4.000   0.000   0.088   0.092   0.014   0.298   0.001   0.047
   0.425   5.000   0.000   0.088   0.092   0.013   0.298   0.001   0.051
   0.450   5.000   0.000   0.088   0.092   0.013   0.298   0.001   0.057
   0.475   5.000   0.000   0.088   0.092   0.013   0.299   0.001   0.062
   0.500   5.000   0.000   0.088   0.092   0.013   0.299   0.001   0.068
   0.525   5.000   0.000   0.087   0.091   0.013   0.300   0.001   0.074
   0.550   5.000   0.000   0.087   0.091   0.013   0.301   0.001   0.080
   0.575   5.000   0.000   0.087   0.090   0.012   0.302   0.001   0.087
   0.600   5.000   0.000   0.086   0.089   0.012   0.303   0.001   0.094
   0.625   5.000   0.000   0.086   0.088   0.012   0.303   0.001   0.101
   0.650   5.000   0.000   0.085   0.087   0.012   0.304   0.001   0.108
   0.675   6.000   0.000   0.084   0.086   0.012   0.305   0.001   0.115
   0.700   6.000   0.000   0.083   0.084   0.012   0.305   0.001   0.123
   0.725   6.000   0.000   0.083   0.083   0.012   0.305   0.001   0.131
   0.750   7.000   0.000   0.082   0.081   0.012   0.306   0.001   0.139
   0.775   7.000   0.000   0.081   0.079   0.012   0.306   0.001   0.146
   0.800   7.000   0.000   0.079   0.077   0.012   0.306   0.001   0.154
   0.825   7.000   0.000   0.078   0.076   0.012   0.305   0.001   0.162
   0.850   7.000   0.000   0.077   0.074   0.012   0.305   0.001   0.170
   0.875   7.000   0.000   0.076   0.072   0.012   0.305   0.001   0.178
   0.900   7.000   0.000   0.075   0.070   0.012   0.304   0.001   0.186
   0.925   7.000   0.000   0.073   0.068   0.012   0.303   0.001   0.194
   0.950   7.000   0.000   0.072   0.066   0.012   0.303   0.001   0.202
   0.975   7.000   0.000   0.071   0.065   0.012   0.302   0.001   0.210
   1.000   7.000   0.000   0.069   0.063   0.012   0.301   0.001   0.217
