  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   5.000   0.004   0.155   0.000   0.292   0.067   0.051
   0.025   5.000   0.003   0.147   0.000   0.281   0.064   0.056
   0.050   5.000   0.002   0.140   0.000   0.270   0.062   0.059
   0.075   5.000   0.001   0.134   0.000   0.262   0.061   0.063
   0.100   5.000   0.001   0.128   0.000   0.254   0.059   0.067
   0.125   5.000   0.001   0.124   0.000   0.249   0.059   0.070
   0.150   5.000   0.001   0.121   0.000   0.244   0.058   0.074
   0.175   5.000   0.000   0.118   0.000   0.241   0.057   0.078
   0.200   5.000   0.000   0.116   0.000   0.238   0.056   0.082
   0.225   5.000   0.000   0.115   0.000   0.237   0.056   0.087
   0.250   6.000   0.000   0.114   0.000   0.236   0.055   0.092
   0.275   6.000   0.000   0.114   0.000   0.236   0.055   0.097
   0.300   7.000   0.000   0.113   0.000   0.236   0.054   0.103
   0.325   7.000   0.000   0.113   0.000   0.237   0.054   0.109
   0.350   7.000   0.000   0.113   0.001   0.238   0.053   0.115
   0.375   7.000   0.000   0.113   0.001   0.240   0.053   0.121
   0.400   7.000   0.000   0.113   0.001   0.241   0.052   0.128
   0.425   7.000   0.000   0.113   0.001   0.243   0.052   0.135
   0.450   8.000   0.000   0.113   0.001   0.245   0.052   0.142
   0.475   8.000   0.000   0.113   0.001   0.247   0.051   0.149
   0.500   8.000   0.000   0.112   0.001   0.249   0.051   0.157
   0.525   8.000   0.000   0.111   0.001   0.251   0.050   0.164
   0.550   8.000   0.000   0.111   0.001   0.252   0.050   0.172
   0.575   8.000   0.000   0.110   0.001   0.254   0.049   0.180
   0.600   8.000   0.000   0.109   0.001   0.255   0.049   0.187
   0.625   8.000   0.000   0.108   0.001   0.256   0.048   0.195
   0.650   8.000   0.000   0.107   0.001   0.257   0.048   0.202
   0.675   8.000   0.000   0.106   0.001   0.258   0.047   0.209
   0.700   8.000   0.000   0.104   0.001   0.258   0.047   0.216
   0.725   8.000   0.000   0.103   0.001   0.259   0.046   0.223
   0.750   8.000   0.000   0.102   0.001   0.259   0.046   0.230
   0.775   8.000   0.000   0.100   0.001   0.259   0.046   0.237
   0.800   8.000   0.000   0.099   0.001   0.259   0.046   0.243
   0.825   8.000   0.000   0.098   0.001   0.259   0.045   0.249
   0.850   8.000   0.000   0.097   0.001   0.259   0.045   0.255
   0.875   8.000   0.000   0.095   0.001   0.259   0.045   0.261
   0.900   8.000   0.000   0.094   0.001   0.259   0.045   0.266
   0.925   8.000   0.000   0.093   0.001   0.258   0.045   0.271
   0.950   8.000   0.000   0.092   0.001   0.258   0.045   0.276
   0.975   8.000   0.000   0.091   0.001   0.258   0.045   0.281
   1.000   8.000   0.000   0.090   0.001   0.256   0.045   0.284
