  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  27.000   0.132   0.131   0.263
   0.025  25.000   0.134   0.133   0.266
   0.050  25.000   0.134   0.133   0.267
   0.075  25.000   0.133   0.133   0.266
   0.100  23.000   0.131   0.132   0.263
   0.125  21.000   0.128   0.130   0.260
   0.150  20.000   0.127   0.130   0.258
   0.175  21.000   0.126   0.130   0.258
   0.200  21.000   0.125   0.131   0.259
   0.225  22.000   0.125   0.132   0.259
   0.250  21.000   0.124   0.131   0.258
   0.275  21.000   0.122   0.130   0.256
   0.300  22.000   0.120   0.129   0.252
   0.325  23.000   0.118   0.126   0.248
   0.350  23.000   0.115   0.124   0.243
   0.375  22.000   0.113   0.121   0.238
   0.400  22.000   0.110   0.119   0.233
   0.425  22.000   0.108   0.116   0.227
   0.450  22.000   0.105   0.113   0.222
   0.475  22.000   0.102   0.111   0.217
   0.500  21.000   0.100   0.108   0.211
   0.525  20.000   0.098   0.106   0.207
   0.550  20.000   0.095   0.103   0.202
   0.575  20.000   0.093   0.101   0.197
   0.600  20.000   0.091   0.099   0.193
   0.625  20.000   0.089   0.097   0.189
   0.650  20.000   0.088   0.095   0.186
   0.675  20.000   0.086   0.093   0.182
   0.700  20.000   0.084   0.092   0.179
   0.725  20.000   0.083   0.090   0.176
   0.750  20.000   0.082   0.089   0.173
   0.775  20.000   0.080   0.087   0.170
   0.800  20.000   0.079   0.086   0.168
   0.825  20.000   0.078   0.085   0.166
   0.850  20.000   0.077   0.084   0.163
   0.875  20.000   0.076   0.083   0.161
   0.900  21.000   0.075   0.082   0.159
   0.925  21.000   0.075   0.082   0.160
   0.950  21.000   0.075   0.082   0.160
   0.975  21.000   0.075   0.082   0.160
   1.000  21.000   0.075   0.082   0.160
