  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.000   0.043   0.042   0.012   0.273   0.001   0.101
   0.025   6.000   0.000   0.039   0.039   0.013   0.262   0.000   0.104
   0.050   7.000   0.000   0.036   0.037   0.014   0.253   0.000   0.107
   0.075   7.000   0.000   0.034   0.035   0.014   0.246   0.000   0.111
   0.100   7.000   0.000   0.033   0.034   0.015   0.239   0.000   0.116
   0.125   7.000   0.000   0.032   0.033   0.016   0.234   0.000   0.121
   0.150   7.000   0.000   0.031   0.033   0.016   0.230   0.000   0.126
   0.175   8.000   0.000   0.030   0.033   0.016   0.227   0.000   0.132
   0.200   8.000   0.000   0.030   0.033   0.017   0.225   0.000   0.139
   0.225   8.000   0.000   0.030   0.034   0.017   0.223   0.000   0.146
   0.250   9.000   0.000   0.030   0.034   0.017   0.223   0.000   0.153
   0.275   9.000   0.000   0.031   0.035   0.017   0.223   0.000   0.161
   0.300   9.000   0.000   0.031   0.036   0.017   0.223   0.000   0.169
   0.325   9.000   0.000   0.031   0.037   0.017   0.224   0.000   0.178
   0.350   9.000   0.000   0.031   0.037   0.018   0.226   0.000   0.187
   0.375   9.000   0.000   0.031   0.038   0.018   0.227   0.000   0.196
   0.400   9.000   0.000   0.031   0.039   0.018   0.229   0.000   0.205
   0.425   9.000   0.000   0.031   0.039   0.018   0.230   0.000   0.214
   0.450  10.000   0.000   0.030   0.039   0.019   0.232   0.000   0.224
   0.475  10.000   0.000   0.030   0.039   0.019   0.234   0.000   0.233
   0.500  10.000   0.000   0.030   0.039   0.019   0.235   0.000   0.242
   0.525  11.000   0.000   0.029   0.039   0.019   0.236   0.000   0.252
   0.550  11.000   0.000   0.028   0.039   0.020   0.238   0.000   0.261
   0.575  11.000   0.000   0.028   0.039   0.020   0.239   0.000   0.269
   0.600  11.000   0.000   0.027   0.039   0.020   0.240   0.000   0.278
   0.625  11.000   0.000   0.026   0.038   0.021   0.240   0.000   0.286
   0.650  11.000   0.000   0.026   0.038   0.021   0.241   0.000   0.294
   0.675  11.000   0.000   0.025   0.038   0.021   0.241   0.000   0.302
   0.700  11.000   0.000   0.024   0.037   0.022   0.242   0.000   0.309
   0.725  11.000   0.000   0.023   0.037   0.022   0.242   0.000   0.316
   0.750  11.000   0.000   0.022   0.036   0.023   0.242   0.000   0.323
   0.775  11.000   0.000   0.021   0.036   0.023   0.242   0.000   0.329
   0.800  11.000   0.000   0.020   0.036   0.024   0.242   0.000   0.335
   0.825  11.000   0.000   0.020   0.035   0.024   0.242   0.000   0.341
   0.850  11.000   0.000   0.019   0.035   0.025   0.241   0.000   0.346
   0.875  11.000   0.000   0.018   0.035   0.025   0.241   0.000   0.351
   0.900  11.000   0.000   0.017   0.034   0.026   0.239   0.000   0.354
   0.925  11.000   0.000   0.016   0.034   0.026   0.238   0.000   0.356
   0.950  11.000   0.000   0.016   0.033   0.027   0.236   0.000   0.358
   0.975  11.000   0.000   0.015   0.033   0.027   0.235   0.000   0.359
   1.000  11.000   0.000   0.014   0.033   0.028   0.233   0.000   0.361
