  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.126   0.127   0.254
   0.025  22.000   0.127   0.129   0.257
   0.050  20.000   0.127   0.131   0.260
   0.075  20.000   0.127   0.132   0.261
   0.100  20.000   0.126   0.132   0.260
   0.125  20.000   0.125   0.132   0.259
   0.150  21.000   0.124   0.131   0.257
   0.175  21.000   0.122   0.129   0.254
   0.200  22.000   0.120   0.128   0.251
   0.225  22.000   0.118   0.126   0.247
   0.250  21.000   0.115   0.124   0.243
   0.275  20.000   0.113   0.121   0.238
   0.300  20.000   0.111   0.119   0.233
   0.325  20.000   0.109   0.116   0.228
   0.350  20.000   0.106   0.113   0.223
   0.375  18.000   0.104   0.110   0.217
   0.400  19.000   0.102   0.107   0.211
   0.425  16.000   0.100   0.106   0.209
   0.450  19.000   0.101   0.106   0.208
   0.475  19.000   0.101   0.106   0.210
   0.500  21.000   0.101   0.107   0.210
   0.525  21.000   0.101   0.107   0.210
   0.550  21.000   0.100   0.106   0.209
   0.575  21.000   0.099   0.105   0.207
   0.600  21.000   0.098   0.104   0.205
   0.625  21.000   0.096   0.103   0.202
   0.650  21.000   0.094   0.101   0.199
   0.675  20.000   0.093   0.100   0.195
   0.700  21.000   0.091   0.098   0.192
   0.725  21.000   0.089   0.096   0.189
   0.750  20.000   0.088   0.095   0.186
   0.775  20.000   0.086   0.093   0.183
   0.800  22.000   0.085   0.092   0.180
   0.825  22.000   0.083   0.091   0.177
   0.850  22.000   0.082   0.089   0.174
   0.875  22.000   0.081   0.088   0.172
   0.900  22.000   0.080   0.087   0.169
   0.925  22.000   0.079   0.086   0.167
   0.950  22.000   0.078   0.084   0.165
   0.975  22.000   0.078   0.084   0.165
   1.000  22.000   0.078   0.084   0.165
