  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.074   0.000   0.208   0.010   0.072   0.000   0.128
   0.025   6.000   0.071   0.000   0.211   0.011   0.067   0.000   0.134
   0.050   6.000   0.067   0.000   0.214   0.013   0.061   0.000   0.141
   0.075   6.000   0.063   0.000   0.216   0.014   0.055   0.000   0.149
   0.100   6.000   0.057   0.000   0.216   0.015   0.050   0.000   0.154
   0.125   6.000   0.052   0.000   0.217   0.015   0.045   0.000   0.159
   0.150   6.000   0.046   0.000   0.218   0.015   0.042   0.000   0.163
   0.175   7.000   0.040   0.000   0.221   0.014   0.040   0.000   0.167
   0.200   7.000   0.035   0.000   0.224   0.014   0.039   0.000   0.172
   0.225   7.000   0.030   0.000   0.229   0.013   0.038   0.000   0.178
   0.250   7.000   0.026   0.000   0.233   0.012   0.038   0.000   0.185
   0.275   6.000   0.022   0.000   0.239   0.011   0.037   0.000   0.192
   0.300   6.000   0.018   0.001   0.244   0.010   0.036   0.000   0.200
   0.325   6.000   0.015   0.001   0.249   0.009   0.035   0.000   0.209
   0.350   5.000   0.012   0.002   0.254   0.008   0.034   0.000   0.217
   0.375   5.000   0.010   0.004   0.258   0.007   0.033   0.000   0.226
   0.400   5.000   0.008   0.007   0.261   0.006   0.031   0.000   0.234
   0.425   5.000   0.007   0.010   0.263   0.005   0.029   0.000   0.243
   0.450   7.000   0.005   0.014   0.265   0.004   0.027   0.000   0.251
   0.475   7.000   0.004   0.019   0.265   0.004   0.025   0.000   0.259
   0.500   7.000   0.004   0.025   0.265   0.003   0.023   0.000   0.267
   0.525   7.000   0.003   0.031   0.264   0.002   0.020   0.000   0.274
   0.550   7.000   0.002   0.037   0.263   0.002   0.018   0.000   0.280
   0.575   7.000   0.002   0.044   0.260   0.001   0.015   0.000   0.287
   0.600   7.000   0.002   0.052   0.258   0.001   0.013   0.000   0.293
   0.625   7.000   0.001   0.059   0.255   0.001   0.011   0.000   0.298
   0.650   7.000   0.001   0.066   0.252   0.001   0.009   0.000   0.304
   0.675   7.000   0.001   0.073   0.249   0.000   0.007   0.000   0.308
   0.700   7.000   0.001   0.080   0.246   0.000   0.006   0.000   0.312
   0.725   7.000   0.001   0.087   0.243   0.000   0.005   0.000   0.316
   0.750   7.000   0.001   0.094   0.239   0.000   0.004   0.000   0.320
   0.775   7.000   0.001   0.100   0.236   0.000   0.003   0.000   0.323
   0.800   9.000   0.001   0.106   0.233   0.000   0.002   0.000   0.326
   0.825   9.000   0.001   0.112   0.230   0.000   0.002   0.000   0.329
   0.850   9.000   0.000   0.117   0.227   0.000   0.001   0.000   0.332
   0.875   9.000   0.000   0.122   0.224   0.000   0.001   0.000   0.334
   0.900   9.000   0.000   0.127   0.221   0.000   0.001   0.000   0.337
   0.925   9.000   0.000   0.132   0.218   0.000   0.001   0.000   0.339
   0.950   9.000   0.000   0.136   0.216   0.000   0.000   0.000   0.341
   0.975   9.000   0.000   0.141   0.214   0.000   0.000   0.000   0.342
   1.000   9.000   0.000   0.145   0.211   0.000   0.000   0.000   0.344
