  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   8.000   0.132   0.139   0.120   0.031   0.000   0.098
   0.025   8.000   0.129   0.135   0.123   0.025   0.000   0.101
   0.050   8.000   0.124   0.129   0.124   0.020   0.000   0.101
   0.075   8.000   0.119   0.124   0.127   0.017   0.000   0.099
   0.100   8.000   0.116   0.119   0.131   0.014   0.001   0.095
   0.125   8.000   0.113   0.116   0.136   0.013   0.001   0.092
   0.150   8.000   0.112   0.113   0.142   0.012   0.001   0.090
   0.175   8.000   0.112   0.112   0.149   0.012   0.001   0.087
   0.200   8.000   0.112   0.110   0.156   0.012   0.001   0.085
   0.225   8.000   0.113   0.109   0.164   0.012   0.001   0.083
   0.250   8.000   0.114   0.109   0.172   0.012   0.002   0.081
   0.275   8.000   0.115   0.109   0.181   0.012   0.002   0.079
   0.300   8.000   0.117   0.109   0.190   0.013   0.002   0.077
   0.325   8.000   0.119   0.109   0.200   0.014   0.002   0.075
   0.350   8.000   0.121   0.110   0.210   0.015   0.002   0.072
   0.375   8.000   0.123   0.110   0.220   0.015   0.002   0.069
   0.400   7.000   0.126   0.111   0.230   0.017   0.002   0.066
   0.425   7.000   0.128   0.112   0.241   0.018   0.002   0.062
   0.450   7.000   0.130   0.112   0.252   0.019   0.002   0.058
   0.475   7.000   0.133   0.113   0.262   0.021   0.002   0.053
   0.500   7.000   0.135   0.114   0.273   0.022   0.002   0.048
   0.525   6.000   0.137   0.114   0.283   0.024   0.002   0.043
   0.550   6.000   0.139   0.115   0.294   0.026   0.002   0.038
   0.575   6.000   0.141   0.116   0.303   0.027   0.002   0.033
   0.600   6.000   0.143   0.116   0.312   0.029   0.002   0.029
   0.625   5.000   0.144   0.116   0.321   0.030   0.002   0.025
   0.650   5.000   0.146   0.117   0.329   0.032   0.002   0.021
   0.675   5.000   0.147   0.117   0.336   0.033   0.002   0.019
   0.700   5.000   0.148   0.117   0.342   0.035   0.002   0.018
   0.725   5.000   0.148   0.117   0.347   0.036   0.002   0.017
   0.750   5.000   0.148   0.117   0.351   0.037   0.002   0.018
   0.775   5.000   0.148   0.117   0.355   0.037   0.002   0.020
   0.800   5.000   0.147   0.117   0.358   0.038   0.002   0.022
   0.825   5.000   0.145   0.117   0.360   0.038   0.002   0.026
   0.850   4.000   0.143   0.116   0.361   0.038   0.002   0.031
   0.875   5.000   0.141   0.116   0.362   0.039   0.002   0.036
   0.900   5.000   0.138   0.115   0.363   0.039   0.002   0.043
   0.925   6.000   0.134   0.115   0.362   0.039   0.002   0.050
   0.950   6.000   0.131   0.114   0.362   0.038   0.002   0.057
   0.975   6.000   0.127   0.113   0.361   0.038   0.002   0.065
   1.000   6.000   0.122   0.112   0.359   0.038   0.002   0.073
