TEXTURE AT STRAIN =    0.5000
   1.165   1.259   0.678  <-- length of phase ellipsoid axes
   21.91    1.38   29.72  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
  139.86   87.85 -137.84   0.0016500
