          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.53099E+02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.20789E+02  0.12488E+02 -0.33277E+02  0.61085E+01 -0.73893E+01 -0.44094E+00      982.00
  0.23501E-01  0.52905E+02    0.12500E-01  0.12500E-01 -0.25000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.20698E+02  0.12457E+02 -0.33155E+02  0.56787E+01 -0.76463E+01 -0.94044E+00      982.00
  0.47001E-01  0.52793E+02    0.25000E-01  0.25000E-01 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.20578E+02  0.12503E+02 -0.33081E+02  0.52185E+01 -0.79163E+01 -0.14450E+01      982.00
  0.70499E-01  0.52757E+02    0.37500E-01  0.37500E-01 -0.75000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.20411E+02  0.12645E+02 -0.33056E+02  0.47163E+01 -0.81903E+01 -0.19579E+01      982.00
  0.93996E-01  0.52782E+02    0.50000E-01  0.50000E-01 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.20172E+02  0.12907E+02 -0.33078E+02  0.41415E+01 -0.84539E+01 -0.24901E+01      982.00
  0.11750E+00  0.52829E+02    0.62500E-01  0.62500E-01 -0.12500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.19833E+02  0.13298E+02 -0.33130E+02  0.34721E+01 -0.86689E+01 -0.30364E+01      982.00
  0.14101E+00  0.52862E+02    0.75000E-01  0.75000E-01 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.19394E+02  0.13794E+02 -0.33188E+02  0.27192E+01 -0.87953E+01 -0.35741E+01      982.00
  0.16456E+00  0.52890E+02    0.87500E-01  0.87500E-01 -0.17500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18916E+02  0.14327E+02 -0.33243E+02  0.19695E+01 -0.88316E+01 -0.40641E+01      982.00
  0.18813E+00  0.52958E+02    0.10000E+00  0.10000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18485E+02  0.14819E+02 -0.33305E+02  0.13286E+01 -0.88165E+01 -0.44796E+01      982.00
  0.21171E+00  0.53079E+02    0.11250E+00  0.11250E+00 -0.22500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18149E+02  0.15236E+02 -0.33385E+02  0.82974E+00 -0.87834E+01 -0.48230E+01      982.00
  0.23530E+00  0.53248E+02    0.12500E+00  0.12500E+00 -0.25000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17902E+02  0.15583E+02 -0.33485E+02  0.44127E+00 -0.87455E+01 -0.51139E+01      982.00
  0.25888E+00  0.53453E+02    0.13750E+00  0.13750E+00 -0.27500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17730E+02  0.15874E+02 -0.33604E+02  0.12886E+00 -0.87074E+01 -0.53683E+01      982.00
  0.28245E+00  0.53691E+02    0.15000E+00  0.15000E+00 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17610E+02  0.16131E+02 -0.33741E+02 -0.14381E+00 -0.86676E+01 -0.56006E+01      982.00
  0.30602E+00  0.53955E+02    0.16250E+00  0.16250E+00 -0.32500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17523E+02  0.16372E+02 -0.33895E+02 -0.39910E+00 -0.86237E+01 -0.58193E+01      982.00
  0.32958E+00  0.54246E+02    0.17500E+00  0.17500E+00 -0.35000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17460E+02  0.16606E+02 -0.34067E+02 -0.64755E+00 -0.85749E+01 -0.60287E+01      982.00
  0.35313E+00  0.54561E+02    0.18750E+00  0.18750E+00 -0.37500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17409E+02  0.16845E+02 -0.34254E+02 -0.89881E+00 -0.85178E+01 -0.62326E+01      982.00
  0.37667E+00  0.54898E+02    0.20000E+00  0.20000E+00 -0.40000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17363E+02  0.17093E+02 -0.34457E+02 -0.11553E+01 -0.84507E+01 -0.64327E+01      982.00
  0.40021E+00  0.55256E+02    0.21250E+00  0.21250E+00 -0.42500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17321E+02  0.17353E+02 -0.34674E+02 -0.14167E+01 -0.83727E+01 -0.66297E+01      982.00
  0.42374E+00  0.55634E+02    0.22500E+00  0.22500E+00 -0.45000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17280E+02  0.17624E+02 -0.34903E+02 -0.16812E+01 -0.82832E+01 -0.68240E+01      982.00
  0.44727E+00  0.56030E+02    0.23750E+00  0.23750E+00 -0.47500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17242E+02  0.17903E+02 -0.35145E+02 -0.19458E+01 -0.81828E+01 -0.70156E+01      982.00
  0.47079E+00  0.56441E+02    0.25000E+00  0.25000E+00 -0.50000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17210E+02  0.18187E+02 -0.35397E+02 -0.22073E+01 -0.80723E+01 -0.72039E+01      982.00
  0.49431E+00  0.56866E+02    0.26250E+00  0.26250E+00 -0.52500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17187E+02  0.18470E+02 -0.35657E+02 -0.24623E+01 -0.79533E+01 -0.73882E+01      982.00
  0.51782E+00  0.57300E+02    0.27500E+00  0.27500E+00 -0.55000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17178E+02  0.18747E+02 -0.35925E+02 -0.27079E+01 -0.78274E+01 -0.75677E+01      982.00
  0.54133E+00  0.57741E+02    0.28750E+00  0.28750E+00 -0.57500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17181E+02  0.19016E+02 -0.36198E+02 -0.29440E+01 -0.76947E+01 -0.77416E+01      982.00
  0.56484E+00  0.58187E+02    0.30000E+00  0.30000E+00 -0.60000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17210E+02  0.19265E+02 -0.36475E+02 -0.31643E+01 -0.75612E+01 -0.79076E+01      982.00
  0.58835E+00  0.58632E+02    0.31250E+00  0.31250E+00 -0.62500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17257E+02  0.19496E+02 -0.36753E+02 -0.33725E+01 -0.74242E+01 -0.80657E+01      982.00
  0.61185E+00  0.59075E+02    0.32500E+00  0.32500E+00 -0.65000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17333E+02  0.19700E+02 -0.37033E+02 -0.35634E+01 -0.72898E+01 -0.82135E+01      982.00
  0.63536E+00  0.59511E+02    0.33750E+00  0.33750E+00 -0.67500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17430E+02  0.19881E+02 -0.37311E+02 -0.37425E+01 -0.71542E+01 -0.83512E+01      982.00
  0.65887E+00  0.59940E+02    0.35000E+00  0.35000E+00 -0.70000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17555E+02  0.20033E+02 -0.37588E+02 -0.39049E+01 -0.70231E+01 -0.84768E+01      982.00
  0.68239E+00  0.60358E+02    0.36250E+00  0.36250E+00 -0.72500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17699E+02  0.20162E+02 -0.37861E+02 -0.40573E+01 -0.68917E+01 -0.85910E+01      982.00
  0.70591E+00  0.60765E+02    0.37500E+00  0.37500E+00 -0.75000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17869E+02  0.20262E+02 -0.38130E+02 -0.41948E+01 -0.67656E+01 -0.86921E+01      982.00
  0.72944E+00  0.61157E+02    0.38750E+00  0.38750E+00 -0.77500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18053E+02  0.20340E+02 -0.38393E+02 -0.43240E+01 -0.66401E+01 -0.87811E+01      982.00
  0.75298E+00  0.61537E+02    0.40000E+00  0.40000E+00 -0.80000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18259E+02  0.20393E+02 -0.38652E+02 -0.44405E+01 -0.65194E+01 -0.88567E+01      982.00
  0.77654E+00  0.61902E+02    0.41250E+00  0.41250E+00 -0.82500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18479E+02  0.20425E+02 -0.38904E+02 -0.45481E+01 -0.64012E+01 -0.89197E+01      982.00
  0.80011E+00  0.62253E+02    0.42500E+00  0.42500E+00 -0.85000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18711E+02  0.20438E+02 -0.39149E+02 -0.46476E+01 -0.62854E+01 -0.89704E+01      982.00
  0.82369E+00  0.62589E+02    0.43750E+00  0.43750E+00 -0.87500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18947E+02  0.20440E+02 -0.39387E+02 -0.47438E+01 -0.61689E+01 -0.90093E+01      982.00
  0.84729E+00  0.62909E+02    0.45000E+00  0.45000E+00 -0.90000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.19196E+02  0.20421E+02 -0.39617E+02 -0.48293E+01 -0.60576E+01 -0.90363E+01      982.00
  0.87090E+00  0.63215E+02    0.46250E+00  0.46250E+00 -0.92500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.19450E+02  0.20389E+02 -0.39839E+02 -0.49087E+01 -0.59487E+01 -0.90522E+01      982.00
  0.89454E+00  0.63506E+02    0.47500E+00  0.47500E+00 -0.95000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.19708E+02  0.20346E+02 -0.40054E+02 -0.49825E+01 -0.58420E+01 -0.90575E+01      982.00
  0.91819E+00  0.63782E+02    0.48750E+00  0.48750E+00 -0.97500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.19968E+02  0.20292E+02 -0.40260E+02 -0.50513E+01 -0.57374E+01 -0.90528E+01      982.00
  0.94186E+00  0.64045E+02    0.50000E+00  0.50000E+00 -0.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00    0.20229E+02  0.20229E+02 -0.40458E+02 -0.51155E+01 -0.56350E+01 -0.90387E+01      982.00
