  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   7.000   0.154   0.006   0.122   0.020   0.036   0.142
   0.025   7.000   0.148   0.006   0.119   0.015   0.035   0.146
   0.050   7.000   0.144   0.006   0.115   0.011   0.035   0.148
   0.075   7.000   0.140   0.006   0.111   0.008   0.034   0.149
   0.100   6.000   0.137   0.006   0.109   0.007   0.034   0.151
   0.125   6.000   0.135   0.006   0.107   0.006   0.034   0.153
   0.150   6.000   0.134   0.006   0.105   0.005   0.034   0.156
   0.175   6.000   0.134   0.006   0.105   0.004   0.034   0.159
   0.200   6.000   0.135   0.006   0.105   0.004   0.033   0.164
   0.225   7.000   0.136   0.006   0.105   0.004   0.033   0.170
   0.250   8.000   0.138   0.007   0.106   0.003   0.032   0.176
   0.275   8.000   0.140   0.007   0.108   0.003   0.031   0.184
   0.300   8.000   0.142   0.007   0.110   0.003   0.030   0.191
   0.325   8.000   0.145   0.007   0.112   0.002   0.029   0.200
   0.350   8.000   0.148   0.007   0.114   0.002   0.027   0.208
   0.375   8.000   0.151   0.007   0.117   0.002   0.026   0.217
   0.400   8.000   0.155   0.007   0.120   0.002   0.024   0.225
   0.425   8.000   0.158   0.007   0.123   0.001   0.021   0.234
   0.450   8.000   0.161   0.007   0.126   0.001   0.019   0.242
   0.475   8.000   0.163   0.007   0.129   0.001   0.017   0.251
   0.500   8.000   0.166   0.007   0.132   0.001   0.015   0.258
   0.525   8.000   0.168   0.007   0.134   0.001   0.012   0.266
   0.550   9.000   0.170   0.007   0.137   0.000   0.010   0.273
   0.575   8.000   0.172   0.007   0.140   0.000   0.008   0.280
   0.600   8.000   0.174   0.007   0.143   0.000   0.007   0.286
   0.625   8.000   0.175   0.007   0.145   0.000   0.005   0.292
   0.650   8.000   0.176   0.006   0.148   0.000   0.004   0.297
   0.675   8.000   0.177   0.006   0.150   0.000   0.003   0.302
   0.700   8.000   0.178   0.006   0.152   0.000   0.002   0.307
   0.725   8.000   0.178   0.006   0.155   0.000   0.002   0.311
   0.750   8.000   0.178   0.006   0.157   0.000   0.001   0.315
   0.775   8.000   0.179   0.006   0.159   0.000   0.001   0.319
   0.800   8.000   0.179   0.005   0.160   0.000   0.001   0.322
   0.825   8.000   0.179   0.005   0.162   0.000   0.000   0.325
   0.850   8.000   0.179   0.005   0.164   0.000   0.000   0.328
   0.875   8.000   0.179   0.005   0.165   0.000   0.000   0.331
   0.900   7.000   0.179   0.005   0.167   0.000   0.000   0.333
   0.925   7.000   0.179   0.005   0.168   0.000   0.000   0.335
   0.950   7.000   0.179   0.005   0.169   0.000   0.000   0.338
   0.975   7.000   0.178   0.004   0.170   0.000   0.000   0.338
   1.000   7.000   0.177   0.004   0.171   0.000   0.000   0.338
