  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   4.000   0.084   0.071   0.009   0.216   0.089   0.000   0.019
   0.025   4.000   0.081   0.068   0.009   0.215   0.087   0.000   0.021
   0.050   5.000   0.079   0.066   0.009   0.216   0.085   0.000   0.023
   0.075   5.000   0.077   0.064   0.009   0.218   0.083   0.000   0.025
   0.100   6.000   0.077   0.063   0.009   0.221   0.081   0.000   0.028
   0.125   6.000   0.077   0.063   0.009   0.227   0.079   0.000   0.032
   0.150   6.000   0.078   0.063   0.009   0.233   0.076   0.000   0.036
   0.175   6.000   0.079   0.064   0.009   0.241   0.074   0.000   0.042
   0.200   6.000   0.081   0.066   0.009   0.250   0.071   0.000   0.048
   0.225   6.000   0.082   0.068   0.009   0.259   0.068   0.000   0.056
   0.250   6.000   0.082   0.070   0.009   0.268   0.064   0.000   0.064
   0.275   6.000   0.082   0.073   0.009   0.276   0.061   0.001   0.074
   0.300   6.000   0.082   0.075   0.008   0.284   0.057   0.001   0.084
   0.325   6.000   0.080   0.077   0.008   0.290   0.053   0.001   0.096
   0.350   6.000   0.078   0.078   0.007   0.294   0.050   0.001   0.107
   0.375   6.000   0.076   0.079   0.007   0.298   0.047   0.001   0.119
   0.400   6.000   0.074   0.079   0.006   0.300   0.045   0.001   0.131
   0.425   6.000   0.072   0.079   0.006   0.301   0.043   0.001   0.142
   0.450   6.000   0.069   0.079   0.006   0.302   0.042   0.001   0.154
   0.475   6.000   0.067   0.078   0.005   0.302   0.041   0.001   0.166
   0.500   7.000   0.066   0.077   0.005   0.302   0.041   0.001   0.178
   0.525   7.000   0.064   0.077   0.005   0.302   0.040   0.001   0.190
   0.550   7.000   0.062   0.076   0.005   0.301   0.041   0.001   0.201
   0.575   8.000   0.060   0.074   0.004   0.300   0.041   0.001   0.213
   0.600   8.000   0.058   0.073   0.004   0.299   0.041   0.001   0.224
   0.625   8.000   0.056   0.072   0.004   0.298   0.041   0.001   0.235
   0.650   8.000   0.054   0.071   0.004   0.296   0.042   0.001   0.245
   0.675   8.000   0.052   0.069   0.004   0.295   0.043   0.001   0.256
   0.700   8.000   0.051   0.068   0.003   0.293   0.043   0.001   0.266
   0.725   9.000   0.049   0.067   0.003   0.291   0.044   0.001   0.276
   0.750   9.000   0.047   0.065   0.003   0.289   0.045   0.001   0.285
   0.775   9.000   0.046   0.063   0.003   0.287   0.045   0.001   0.294
   0.800   9.000   0.044   0.062   0.003   0.285   0.046   0.001   0.303
   0.825   9.000   0.043   0.060   0.003   0.283   0.047   0.001   0.312
   0.850   9.000   0.042   0.059   0.003   0.281   0.048   0.001   0.320
   0.875   9.000   0.041   0.057   0.002   0.279   0.048   0.001   0.328
   0.900   9.000   0.039   0.055   0.002   0.275   0.049   0.001   0.333
   0.925  10.000   0.038   0.054   0.002   0.272   0.050   0.001   0.338
   0.950  10.000   0.037   0.052   0.002   0.270   0.051   0.001   0.343
   0.975  10.000   0.036   0.050   0.002   0.267   0.051   0.001   0.348
   1.000  10.000   0.035   0.049   0.002   0.264   0.052   0.001   0.353
