  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   7.000   0.106   0.176   0.005   0.154   0.026   0.000   0.080
   0.025   7.000   0.106   0.169   0.006   0.159   0.022   0.001   0.083
   0.050   7.000   0.104   0.161   0.006   0.162   0.018   0.001   0.083
   0.075   7.000   0.101   0.153   0.006   0.163   0.015   0.001   0.080
   0.100   7.000   0.099   0.146   0.006   0.166   0.013   0.001   0.076
   0.125   7.000   0.097   0.141   0.006   0.171   0.012   0.002   0.071
   0.150   7.000   0.096   0.136   0.006   0.178   0.011   0.002   0.066
   0.175   7.000   0.095   0.132   0.006   0.186   0.011   0.002   0.061
   0.200   7.000   0.096   0.130   0.006   0.195   0.011   0.003   0.056
   0.225   7.000   0.097   0.127   0.007   0.204   0.011   0.003   0.052
   0.250   6.000   0.098   0.126   0.007   0.214   0.011   0.003   0.048
   0.275   6.000   0.100   0.124   0.007   0.224   0.012   0.003   0.043
   0.300   5.000   0.102   0.123   0.008   0.234   0.012   0.003   0.039
   0.325   5.000   0.104   0.122   0.008   0.245   0.013   0.003   0.035
   0.350   5.000   0.107   0.122   0.009   0.255   0.014   0.003   0.031
   0.375   5.000   0.109   0.121   0.009   0.265   0.015   0.003   0.027
   0.400   4.000   0.112   0.121   0.010   0.275   0.016   0.003   0.023
   0.425   4.000   0.114   0.121   0.010   0.284   0.018   0.003   0.020
   0.450   4.000   0.116   0.120   0.011   0.293   0.019   0.003   0.017
   0.475   4.000   0.119   0.120   0.011   0.300   0.020   0.003   0.015
   0.500   4.000   0.120   0.120   0.011   0.307   0.022   0.003   0.014
   0.525   4.000   0.122   0.120   0.012   0.314   0.023   0.003   0.014
   0.550   4.000   0.123   0.120   0.012   0.319   0.024   0.003   0.015
   0.575   4.000   0.124   0.120   0.012   0.324   0.025   0.003   0.016
   0.600   4.000   0.124   0.120   0.012   0.327   0.026   0.003   0.019
   0.625   4.000   0.123   0.119   0.012   0.331   0.027   0.003   0.022
   0.650   4.000   0.123   0.119   0.012   0.333   0.027   0.003   0.027
   0.675   5.000   0.121   0.119   0.012   0.335   0.028   0.003   0.032
   0.700   5.000   0.119   0.118   0.011   0.337   0.028   0.003   0.038
   0.725   5.000   0.117   0.118   0.011   0.338   0.029   0.003   0.044
   0.750   6.000   0.115   0.117   0.011   0.338   0.029   0.003   0.051
   0.775   6.000   0.112   0.116   0.010   0.339   0.029   0.003   0.059
   0.800   6.000   0.109   0.115   0.010   0.339   0.029   0.003   0.067
   0.825   6.000   0.106   0.115   0.009   0.338   0.029   0.003   0.075
   0.850   6.000   0.103   0.113   0.009   0.338   0.029   0.003   0.084
   0.875   6.000   0.099   0.112   0.008   0.337   0.029   0.003   0.093
   0.900   6.000   0.096   0.111   0.008   0.336   0.029   0.003   0.102
   0.925   6.000   0.093   0.110   0.007   0.334   0.029   0.003   0.111
   0.950   6.000   0.089   0.109   0.007   0.333   0.029   0.003   0.120
   0.975   6.000   0.086   0.107   0.006   0.331   0.029   0.003   0.130
   1.000   6.000   0.083   0.106   0.006   0.329   0.029   0.003   0.139
