  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   7.000   0.000   0.167   0.199   0.000   0.027   0.001   0.154
   0.025   7.000   0.000   0.170   0.194   0.000   0.022   0.000   0.160
   0.050   7.000   0.000   0.172   0.188   0.000   0.018   0.000   0.166
   0.075   8.000   0.000   0.173   0.183   0.000   0.015   0.000   0.173
   0.100   8.000   0.000   0.174   0.178   0.000   0.012   0.000   0.181
   0.125   8.000   0.000   0.175   0.174   0.000   0.010   0.000   0.189
   0.150   8.000   0.000   0.176   0.171   0.000   0.009   0.000   0.198
   0.175   7.000   0.000   0.177   0.169   0.000   0.007   0.000   0.208
   0.200   7.000   0.000   0.178   0.167   0.000   0.006   0.000   0.219
   0.225   7.000   0.000   0.180   0.165   0.000   0.005   0.000   0.229
   0.250   7.000   0.000   0.181   0.164   0.000   0.004   0.000   0.239
   0.275   8.000   0.000   0.183   0.164   0.000   0.003   0.000   0.250
   0.300   8.000   0.000   0.185   0.163   0.000   0.003   0.000   0.259
   0.325   8.000   0.000   0.187   0.163   0.000   0.002   0.000   0.269
   0.350   8.000   0.000   0.189   0.164   0.000   0.002   0.000   0.278
   0.375   9.000   0.000   0.191   0.164   0.000   0.001   0.000   0.286
   0.400   9.000   0.000   0.192   0.165   0.000   0.001   0.000   0.294
   0.425   9.000   0.000   0.194   0.165   0.000   0.001   0.000   0.301
   0.450   9.000   0.000   0.196   0.166   0.000   0.001   0.000   0.307
   0.475   9.000   0.000   0.197   0.167   0.000   0.000   0.000   0.314
   0.500   9.000   0.000   0.199   0.168   0.000   0.000   0.000   0.320
   0.525   9.000   0.000   0.200   0.168   0.000   0.000   0.000   0.325
   0.550   9.000   0.000   0.202   0.169   0.000   0.000   0.000   0.330
   0.575   9.000   0.000   0.203   0.170   0.000   0.000   0.000   0.334
   0.600   9.000   0.000   0.204   0.171   0.000   0.000   0.000   0.339
   0.625   9.000   0.000   0.205   0.172   0.000   0.000   0.000   0.343
   0.650   9.000   0.000   0.206   0.173   0.000   0.000   0.000   0.347
   0.675   9.000   0.000   0.207   0.174   0.000   0.000   0.000   0.350
   0.700   9.000   0.000   0.208   0.175   0.000   0.000   0.000   0.353
   0.725   9.000   0.000   0.209   0.176   0.000   0.000   0.000   0.356
   0.750   9.000   0.000   0.209   0.177   0.000   0.000   0.000   0.359
   0.775   9.000   0.000   0.210   0.177   0.000   0.000   0.000   0.362
   0.800   9.000   0.000   0.211   0.178   0.000   0.000   0.000   0.364
   0.825   9.000   0.000   0.211   0.179   0.000   0.000   0.000   0.367
   0.850   9.000   0.000   0.212   0.180   0.000   0.000   0.000   0.369
   0.875   9.000   0.000   0.212   0.181   0.000   0.000   0.000   0.371
   0.900   9.000   0.000   0.213   0.181   0.000   0.000   0.000   0.373
   0.925   9.000   0.000   0.213   0.182   0.000   0.000   0.000   0.375
   0.950   9.000   0.000   0.214   0.183   0.000   0.000   0.000   0.376
   0.975   9.000   0.000   0.214   0.183   0.000   0.000   0.000   0.378
   1.000   9.000   0.000   0.214   0.184   0.000   0.000   0.000   0.378
