  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   4.000   0.042   0.311   0.000   0.045   0.002   0.134
   0.025   5.000   0.036   0.320   0.000   0.041   0.002   0.143
   0.050   5.000   0.030   0.329   0.000   0.036   0.002   0.155
   0.075   5.000   0.025   0.337   0.000   0.032   0.002   0.167
   0.100   5.000   0.020   0.344   0.000   0.029   0.002   0.178
   0.125   4.000   0.016   0.349   0.000   0.026   0.002   0.189
   0.150   4.000   0.012   0.354   0.000   0.024   0.002   0.200
   0.175   5.000   0.009   0.359   0.000   0.022   0.002   0.211
   0.200   5.000   0.007   0.362   0.000   0.020   0.002   0.222
   0.225   4.000   0.005   0.365   0.000   0.018   0.002   0.232
   0.250   4.000   0.003   0.367   0.000   0.017   0.001   0.241
   0.275   5.000   0.002   0.369   0.000   0.015   0.001   0.249
   0.300   5.000   0.001   0.370   0.001   0.014   0.001   0.257
   0.325   5.000   0.001   0.371   0.001   0.012   0.001   0.264
   0.350   5.000   0.000   0.371   0.002   0.011   0.001   0.271
   0.375   7.000   0.000   0.371   0.003   0.010   0.001   0.277
   0.400   7.000   0.000   0.369   0.005   0.008   0.001   0.283
   0.425   7.000   0.000   0.367   0.008   0.007   0.000   0.288
   0.450   7.000   0.000   0.364   0.011   0.006   0.000   0.293
   0.475   7.000   0.000   0.360   0.015   0.005   0.000   0.297
   0.500   8.000   0.000   0.356   0.019   0.004   0.000   0.300
   0.525   8.000   0.000   0.351   0.023   0.004   0.000   0.303
   0.550   8.000   0.000   0.346   0.028   0.003   0.000   0.306
   0.575   8.000   0.000   0.341   0.033   0.003   0.000   0.309
   0.600   8.000   0.000   0.335   0.038   0.002   0.000   0.311
   0.625   8.000   0.000   0.329   0.044   0.002   0.000   0.313
   0.650   8.000   0.000   0.322   0.049   0.001   0.000   0.315
   0.675   8.000   0.000   0.316   0.055   0.001   0.000   0.317
   0.700   8.000   0.000   0.310   0.061   0.001   0.000   0.318
   0.725   8.000   0.000   0.304   0.066   0.001   0.000   0.320
   0.750   8.000   0.000   0.297   0.072   0.001   0.000   0.321
   0.775   8.000   0.000   0.291   0.077   0.000   0.000   0.323
   0.800   8.000   0.000   0.285   0.083   0.000   0.000   0.324
   0.825   8.000   0.000   0.280   0.088   0.000   0.000   0.326
   0.850   8.000   0.000   0.274   0.093   0.000   0.000   0.327
   0.875   9.000   0.000   0.269   0.098   0.000   0.000   0.329
   0.900   9.000   0.000   0.264   0.103   0.000   0.000   0.330
   0.925   9.000   0.000   0.260   0.107   0.000   0.000   0.332
   0.950   9.000   0.000   0.255   0.112   0.000   0.000   0.334
   0.975   9.000   0.000   0.251   0.116   0.000   0.000   0.335
   1.000   9.000   0.000   0.247   0.120   0.000   0.000   0.337
