  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.134   0.129   0.261
   0.025  26.000   0.137   0.131   0.265
   0.050  28.000   0.138   0.132   0.268
   0.075  28.000   0.139   0.133   0.269
   0.100  28.000   0.138   0.132   0.268
   0.125  28.000   0.137   0.131   0.266
   0.150  27.000   0.134   0.129   0.262
   0.175  26.000   0.131   0.127   0.256
   0.200  26.000   0.126   0.124   0.249
   0.225  26.000   0.122   0.120   0.241
   0.250  22.000   0.116   0.116   0.233
   0.275  21.000   0.111   0.112   0.224
   0.300  21.000   0.106   0.108   0.215
   0.325  21.000   0.102   0.104   0.206
   0.350  22.000   0.098   0.100   0.198
   0.375  22.000   0.095   0.096   0.191
   0.400  22.000   0.092   0.092   0.184
   0.425  22.000   0.089   0.089   0.178
   0.450  22.000   0.086   0.086   0.172
   0.475  21.000   0.084   0.083   0.167
   0.500  21.000   0.081   0.081   0.162
   0.525  21.000   0.079   0.079   0.158
   0.550  21.000   0.077   0.077   0.153
   0.575  21.000   0.075   0.075   0.150
   0.600  21.000   0.073   0.073   0.146
   0.625  24.000   0.072   0.072   0.143
   0.650  25.000   0.070   0.070   0.140
   0.675  27.000   0.068   0.069   0.137
   0.700  27.000   0.067   0.068   0.135
   0.725  27.000   0.066   0.067   0.133
   0.750  27.000   0.064   0.066   0.130
   0.775  27.000   0.063   0.065   0.128
   0.800  27.000   0.062   0.064   0.126
   0.825  27.000   0.061   0.063   0.125
   0.850  27.000   0.060   0.062   0.123
   0.875  27.000   0.059   0.061   0.121
   0.900  26.000   0.059   0.061   0.121
   0.925  26.000   0.059   0.061   0.122
   0.950  27.000   0.059   0.062   0.122
   0.975  27.000   0.059   0.062   0.122
   1.000  28.000   0.059   0.062   0.122
