TEXTURE AT STRAIN =    0.2500
   1.294   1.527   0.487  <-- length of phase ellipsoid axes
  -80.31    4.31  134.59  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
  102.88   53.10 -119.81   0.0003500
