  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   8.000   0.155   0.165   0.013   0.008   0.001   0.170
   0.025   8.000   0.152   0.165   0.013   0.005   0.001   0.178
   0.050   8.000   0.148   0.164   0.012   0.003   0.001   0.182
   0.075   8.000   0.143   0.162   0.012   0.002   0.001   0.184
   0.100   8.000   0.137   0.162   0.010   0.001   0.001   0.184
   0.125   8.000   0.130   0.164   0.009   0.001   0.000   0.185
   0.150   7.000   0.124   0.166   0.008   0.001   0.000   0.187
   0.175   7.000   0.118   0.170   0.007   0.001   0.000   0.190
   0.200   7.000   0.112   0.175   0.006   0.000   0.000   0.193
   0.225   7.000   0.106   0.180   0.005   0.000   0.000   0.198
   0.250   7.000   0.101   0.187   0.004   0.000   0.000   0.203
   0.275   7.000   0.096   0.193   0.004   0.000   0.000   0.209
   0.300   7.000   0.091   0.201   0.003   0.000   0.000   0.215
   0.325   7.000   0.086   0.209   0.002   0.000   0.000   0.221
   0.350   7.000   0.081   0.218   0.002   0.000   0.000   0.228
   0.375   7.000   0.076   0.226   0.001   0.000   0.000   0.234
   0.400   7.000   0.071   0.236   0.001   0.000   0.000   0.241
   0.425   7.000   0.065   0.245   0.001   0.000   0.000   0.248
   0.450   7.000   0.060   0.255   0.001   0.000   0.000   0.254
   0.475   7.000   0.055   0.264   0.000   0.000   0.000   0.261
   0.500   7.000   0.049   0.273   0.000   0.000   0.000   0.267
   0.525   7.000   0.044   0.283   0.000   0.000   0.000   0.273
   0.550   7.000   0.039   0.292   0.000   0.000   0.000   0.279
   0.575   7.000   0.034   0.301   0.000   0.000   0.000   0.284
   0.600   7.000   0.029   0.309   0.000   0.000   0.000   0.290
   0.625   8.000   0.024   0.317   0.000   0.000   0.000   0.295
   0.650   8.000   0.020   0.324   0.000   0.000   0.000   0.300
   0.675   7.000   0.017   0.331   0.000   0.000   0.000   0.305
   0.700   6.000   0.013   0.337   0.000   0.000   0.000   0.310
   0.725   7.000   0.011   0.343   0.000   0.000   0.000   0.314
   0.750   7.000   0.008   0.348   0.000   0.000   0.000   0.319
   0.775   7.000   0.006   0.353   0.000   0.000   0.000   0.323
   0.800   8.000   0.005   0.357   0.000   0.000   0.000   0.327
   0.825   8.000   0.003   0.360   0.000   0.000   0.000   0.331
   0.850   7.000   0.002   0.363   0.000   0.000   0.000   0.335
   0.875   7.000   0.002   0.365   0.000   0.000   0.000   0.338
   0.900   7.000   0.001   0.367   0.001   0.000   0.000   0.341
   0.925   7.000   0.001   0.368   0.001   0.000   0.000   0.344
   0.950   7.000   0.000   0.369   0.002   0.000   0.000   0.347
   0.975   7.000   0.000   0.369   0.003   0.000   0.000   0.349
   1.000   7.000   0.000   0.368   0.005   0.000   0.000   0.351
