  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.117   0.125   0.245
   0.025  22.000   0.120   0.126   0.249
   0.050  21.000   0.122   0.127   0.251
   0.075  21.000   0.123   0.127   0.252
   0.100  22.000   0.123   0.127   0.251
   0.125  23.000   0.123   0.125   0.249
   0.150  22.000   0.122   0.123   0.246
   0.175  22.000   0.120   0.120   0.241
   0.200  21.000   0.118   0.117   0.235
   0.225  21.000   0.115   0.114   0.229
   0.250  21.000   0.112   0.111   0.223
   0.275  21.000   0.109   0.108   0.217
   0.300  24.000   0.105   0.105   0.210
   0.325  26.000   0.101   0.102   0.204
   0.350  26.000   0.098   0.100   0.198
   0.375  27.000   0.095   0.097   0.192
   0.400  26.000   0.092   0.094   0.187
   0.425  26.000   0.089   0.091   0.181
   0.450  26.000   0.086   0.089   0.176
   0.475  27.000   0.083   0.086   0.171
   0.500  27.000   0.081   0.084   0.166
   0.525  28.000   0.078   0.082   0.162
   0.550  28.000   0.076   0.080   0.157
   0.575  28.000   0.074   0.078   0.154
   0.600  28.000   0.073   0.076   0.150
   0.625  28.000   0.071   0.074   0.146
   0.650  28.000   0.069   0.073   0.143
   0.675  28.000   0.068   0.071   0.140
   0.700  28.000   0.067   0.070   0.137
   0.725  28.000   0.065   0.068   0.135
   0.750  28.000   0.064   0.067   0.132
   0.775  27.000   0.063   0.066   0.130
   0.800  28.000   0.062   0.065   0.128
   0.825  27.000   0.061   0.064   0.126
   0.850  27.000   0.061   0.063   0.124
   0.875  27.000   0.060   0.062   0.123
   0.900  27.000   0.059   0.061   0.121
   0.925  27.000   0.059   0.061   0.121
   0.950  27.000   0.059   0.061   0.121
   0.975  27.000   0.059   0.061   0.121
   1.000  27.000   0.059   0.061   0.121
