  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  25.000   0.124   0.119   0.241
   0.025  23.000   0.123   0.119   0.241
   0.050  23.000   0.121   0.119   0.239
   0.075  22.000   0.120   0.117   0.236
   0.100  22.000   0.119   0.116   0.234
   0.125  23.000   0.118   0.115   0.231
   0.150  21.000   0.116   0.113   0.228
   0.175  21.000   0.114   0.111   0.224
   0.200  22.000   0.112   0.108   0.219
   0.225  22.000   0.109   0.106   0.214
   0.250  22.000   0.106   0.103   0.208
   0.275  22.000   0.103   0.100   0.202
   0.300  22.000   0.099   0.098   0.196
   0.325  22.000   0.096   0.095   0.190
   0.350  25.000   0.093   0.092   0.185
   0.375  26.000   0.090   0.090   0.179
   0.400  26.000   0.087   0.087   0.174
   0.425  27.000   0.084   0.085   0.169
   0.450  27.000   0.082   0.083   0.164
   0.475  27.000   0.079   0.080   0.160
   0.500  28.000   0.077   0.078   0.156
   0.525  28.000   0.075   0.077   0.152
   0.550  27.000   0.073   0.075   0.148
   0.575  27.000   0.071   0.073   0.145
   0.600  26.000   0.069   0.072   0.142
   0.625  26.000   0.068   0.070   0.139
   0.650  26.000   0.066   0.069   0.136
   0.675  26.000   0.065   0.068   0.134
   0.700  26.000   0.064   0.066   0.131
   0.725  26.000   0.062   0.065   0.129
   0.750  26.000   0.061   0.064   0.127
   0.775  26.000   0.060   0.063   0.125
   0.800  26.000   0.059   0.062   0.123
   0.825  26.000   0.058   0.062   0.121
   0.850  26.000   0.058   0.061   0.120
   0.875  26.000   0.057   0.060   0.118
   0.900  26.000   0.056   0.059   0.117
   0.925  26.000   0.055   0.059   0.115
   0.950  26.000   0.055   0.058   0.114
   0.975  26.000   0.054   0.057   0.113
   1.000  26.000   0.054   0.057   0.113
