  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   5.000   0.038   0.000   0.125   0.019   0.033   0.243   0.024
   0.025   5.000   0.038   0.000   0.119   0.019   0.033   0.239   0.027
   0.050   5.000   0.038   0.000   0.114   0.019   0.032   0.237   0.030
   0.075   5.000   0.038   0.000   0.111   0.020   0.031   0.238   0.033
   0.100   5.000   0.039   0.000   0.109   0.021   0.030   0.240   0.038
   0.125   6.000   0.040   0.000   0.108   0.022   0.029   0.244   0.043
   0.150   6.000   0.040   0.000   0.109   0.024   0.027   0.249   0.050
   0.175   6.000   0.040   0.000   0.109   0.027   0.026   0.254   0.058
   0.200   8.000   0.040   0.000   0.110   0.029   0.024   0.259   0.066
   0.225   9.000   0.039   0.000   0.110   0.032   0.022   0.263   0.076
   0.250   9.000   0.039   0.000   0.109   0.035   0.021   0.266   0.086
   0.275   9.000   0.038   0.000   0.109   0.037   0.020   0.268   0.096
   0.300   9.000   0.037   0.000   0.108   0.038   0.019   0.270   0.107
   0.325   9.000   0.036   0.000   0.107   0.039   0.018   0.271   0.118
   0.350   9.000   0.036   0.000   0.106   0.040   0.018   0.273   0.130
   0.375   9.000   0.035   0.000   0.104   0.041   0.018   0.274   0.142
   0.400   9.000   0.035   0.000   0.103   0.041   0.018   0.275   0.155
   0.425   9.000   0.034   0.000   0.102   0.041   0.018   0.276   0.167
   0.450   9.000   0.034   0.000   0.100   0.041   0.018   0.277   0.180
   0.475   9.000   0.033   0.000   0.099   0.041   0.018   0.278   0.192
   0.500   9.000   0.033   0.000   0.097   0.041   0.019   0.278   0.204
   0.525  10.000   0.032   0.000   0.095   0.040   0.019   0.278   0.217
   0.550  10.000   0.031   0.000   0.093   0.040   0.019   0.278   0.229
   0.575  10.000   0.030   0.000   0.091   0.040   0.019   0.278   0.240
   0.600  10.000   0.029   0.000   0.089   0.039   0.019   0.277   0.252
   0.625  10.000   0.028   0.000   0.087   0.039   0.020   0.276   0.263
   0.650  10.000   0.028   0.000   0.085   0.038   0.020   0.275   0.274
   0.675  10.000   0.027   0.000   0.083   0.038   0.020   0.274   0.285
   0.700  10.000   0.026   0.000   0.081   0.038   0.020   0.273   0.295
   0.725  10.000   0.025   0.000   0.079   0.037   0.020   0.272   0.305
   0.750  10.000   0.024   0.000   0.078   0.037   0.020   0.270   0.315
   0.775  10.000   0.023   0.000   0.076   0.036   0.020   0.269   0.324
   0.800  11.000   0.022   0.000   0.074   0.036   0.020   0.267   0.333
   0.825  11.000   0.022   0.000   0.072   0.036   0.020   0.265   0.341
   0.850  12.000   0.021   0.000   0.071   0.035   0.020   0.264   0.349
   0.875  12.000   0.020   0.000   0.069   0.035   0.020   0.262   0.357
   0.900  12.000   0.019   0.000   0.067   0.035   0.020   0.260   0.363
   0.925  12.000   0.019   0.000   0.066   0.035   0.019   0.257   0.368
   0.950  12.000   0.018   0.000   0.064   0.034   0.019   0.255   0.374
   0.975  12.000   0.017   0.000   0.063   0.034   0.019   0.253   0.379
   1.000  12.000   0.017   0.000   0.061   0.034   0.019   0.250   0.383
