  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   7.000   0.159   0.067   0.034   0.062   0.035   0.098
   0.025   7.000   0.156   0.066   0.033   0.054   0.038   0.102
   0.050   7.000   0.152   0.065   0.033   0.044   0.042   0.108
   0.075   8.000   0.147   0.064   0.031   0.036   0.044   0.113
   0.100   8.000   0.143   0.064   0.030   0.031   0.047   0.116
   0.125   8.000   0.139   0.065   0.028   0.027   0.049   0.118
   0.150   8.000   0.136   0.066   0.027   0.026   0.050   0.120
   0.175   8.000   0.133   0.068   0.025   0.025   0.052   0.123
   0.200   8.000   0.132   0.070   0.024   0.024   0.053   0.127
   0.225   8.000   0.132   0.072   0.024   0.024   0.055   0.131
   0.250   8.000   0.132   0.074   0.023   0.024   0.056   0.136
   0.275   8.000   0.134   0.077   0.023   0.025   0.058   0.142
   0.300   8.000   0.135   0.079   0.023   0.025   0.059   0.148
   0.325   8.000   0.138   0.082   0.023   0.026   0.060   0.154
   0.350   8.000   0.140   0.085   0.023   0.026   0.061   0.161
   0.375   8.000   0.143   0.088   0.023   0.026   0.062   0.168
   0.400   8.000   0.146   0.090   0.024   0.026   0.062   0.175
   0.425   8.000   0.149   0.093   0.024   0.026   0.062   0.182
   0.450   8.000   0.152   0.095   0.024   0.026   0.062   0.189
   0.475   8.000   0.155   0.098   0.025   0.026   0.061   0.196
   0.500   8.000   0.158   0.100   0.025   0.026   0.060   0.203
   0.525   8.000   0.162   0.103   0.025   0.025   0.059   0.210
   0.550   8.000   0.165   0.105   0.026   0.024   0.057   0.217
   0.575   8.000   0.167   0.107   0.026   0.023   0.055   0.225
   0.600   8.000   0.170   0.110   0.026   0.022   0.053   0.232
   0.625   9.000   0.173   0.112   0.026   0.021   0.051   0.239
   0.650   9.000   0.175   0.114   0.027   0.020   0.048   0.246
   0.675   9.000   0.178   0.117   0.027   0.019   0.045   0.253
   0.700   9.000   0.180   0.119   0.027   0.017   0.041   0.260
   0.725   9.000   0.183   0.121   0.027   0.016   0.038   0.267
   0.750   9.000   0.185   0.124   0.027   0.014   0.034   0.274
   0.775   9.000   0.187   0.126   0.027   0.012   0.031   0.281
   0.800   9.000   0.189   0.128   0.027   0.011   0.027   0.287
   0.825   8.000   0.190   0.130   0.027   0.009   0.024   0.294
   0.850   8.000   0.192   0.133   0.027   0.008   0.020   0.300
   0.875   8.000   0.193   0.135   0.027   0.007   0.017   0.305
   0.900   8.000   0.193   0.136   0.026   0.005   0.014   0.308
   0.925   9.000   0.193   0.138   0.026   0.004   0.012   0.311
   0.950   8.000   0.193   0.139   0.026   0.003   0.009   0.314
   0.975   8.000   0.193   0.141   0.025   0.003   0.007   0.317
   1.000   8.000   0.192   0.142   0.025   0.002   0.006   0.319
