  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.095   0.100   0.197
   0.025  20.000   0.096   0.101   0.199
   0.050  20.000   0.096   0.102   0.200
   0.075  19.000   0.095   0.102   0.200
   0.100  19.000   0.094   0.102   0.199
   0.125  19.000   0.093   0.101   0.197
   0.150  17.000   0.092   0.100   0.195
   0.175  14.000   0.092   0.100   0.196
   0.200  17.000   0.093   0.102   0.199
   0.225  19.000   0.095   0.103   0.202
   0.250  19.000   0.096   0.105   0.204
   0.275  19.000   0.097   0.105   0.206
   0.300  20.000   0.097   0.106   0.206
   0.325  22.000   0.098   0.106   0.207
   0.350  22.000   0.098   0.106   0.207
   0.375  22.000   0.098   0.105   0.206
   0.400  23.000   0.098   0.105   0.206
   0.425  23.000   0.098   0.104   0.205
   0.450  22.000   0.098   0.104   0.204
   0.475  22.000   0.097   0.103   0.202
   0.500  22.000   0.096   0.102   0.201
   0.525  22.000   0.096   0.101   0.199
   0.550  22.000   0.095   0.100   0.197
   0.575  22.000   0.094   0.099   0.195
   0.600  22.000   0.093   0.098   0.193
   0.625  21.000   0.092   0.097   0.191
   0.650  21.000   0.091   0.096   0.189
   0.675  21.000   0.090   0.095   0.187
   0.700  21.000   0.089   0.094   0.185
   0.725  21.000   0.088   0.093   0.183
   0.750  21.000   0.087   0.092   0.181
   0.775  21.000   0.086   0.091   0.179
   0.800  20.000   0.085   0.090   0.177
   0.825  20.000   0.084   0.089   0.175
   0.850  20.000   0.083   0.088   0.173
   0.875  20.000   0.082   0.087   0.171
   0.900  20.000   0.081   0.086   0.169
   0.925  20.000   0.081   0.085   0.168
   0.950  20.000   0.080   0.084   0.166
   0.975  20.000   0.079   0.084   0.164
   1.000  20.000   0.078   0.083   0.163
