  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.044   0.032   0.006   0.225   0.084   0.000   0.090
   0.025   6.000   0.042   0.031   0.005   0.219   0.081   0.000   0.094
   0.050   6.000   0.041   0.030   0.005   0.214   0.078   0.000   0.099
   0.075   6.000   0.040   0.030   0.005   0.210   0.075   0.000   0.105
   0.100   6.000   0.039   0.029   0.005   0.207   0.073   0.000   0.112
   0.125   7.000   0.039   0.029   0.005   0.206   0.070   0.000   0.120
   0.150   7.000   0.038   0.029   0.005   0.206   0.068   0.000   0.129
   0.175   7.000   0.038   0.030   0.005   0.206   0.066   0.000   0.139
   0.200   7.000   0.038   0.030   0.005   0.207   0.065   0.000   0.150
   0.225   7.000   0.038   0.030   0.004   0.208   0.063   0.000   0.162
   0.250   7.000   0.037   0.031   0.004   0.210   0.062   0.000   0.174
   0.275   8.000   0.037   0.031   0.004   0.211   0.061   0.000   0.186
   0.300   9.000   0.036   0.032   0.004   0.213   0.060   0.000   0.199
   0.325   9.000   0.036   0.032   0.004   0.215   0.059   0.000   0.211
   0.350   9.000   0.035   0.033   0.004   0.216   0.058   0.000   0.223
   0.375   9.000   0.034   0.033   0.003   0.218   0.057   0.000   0.234
   0.400   9.000   0.034   0.033   0.003   0.219   0.057   0.000   0.246
   0.425   9.000   0.033   0.033   0.003   0.220   0.056   0.000   0.257
   0.450   9.000   0.032   0.033   0.003   0.221   0.056   0.000   0.268
   0.475   9.000   0.032   0.033   0.003   0.223   0.055   0.000   0.279
   0.500  10.000   0.031   0.033   0.003   0.223   0.055   0.000   0.289
   0.525  10.000   0.030   0.032   0.003   0.222   0.056   0.000   0.297
   0.550  10.000   0.029   0.031   0.003   0.220   0.057   0.000   0.302
   0.575  10.000   0.028   0.031   0.002   0.218   0.057   0.000   0.305
   0.600  11.000   0.027   0.030   0.002   0.216   0.057   0.000   0.306
   0.625  11.000   0.026   0.030   0.002   0.215   0.057   0.000   0.308
   0.650  11.000   0.026   0.031   0.002   0.215   0.056   0.000   0.310
   0.675  11.000   0.026   0.031   0.002   0.215   0.056   0.000   0.312
   0.700  11.000   0.025   0.031   0.002   0.215   0.056   0.000   0.316
   0.725  11.000   0.025   0.031   0.002   0.216   0.056   0.000   0.320
   0.750  11.000   0.025   0.030   0.002   0.216   0.057   0.000   0.324
   0.775  11.000   0.025   0.030   0.002   0.216   0.057   0.000   0.329
   0.800  11.000   0.024   0.029   0.002   0.215   0.058   0.000   0.334
   0.825  11.000   0.024   0.029   0.002   0.215   0.059   0.000   0.338
   0.850  11.000   0.024   0.028   0.002   0.214   0.060   0.000   0.343
   0.875  11.000   0.024   0.027   0.002   0.214   0.061   0.000   0.348
   0.900  11.000   0.023   0.026   0.002   0.212   0.062   0.000   0.350
   0.925  11.000   0.023   0.025   0.002   0.210   0.063   0.000   0.352
   0.950  11.000   0.023   0.024   0.002   0.208   0.064   0.000   0.354
   0.975  11.000   0.022   0.023   0.002   0.206   0.065   0.000   0.356
   1.000  11.000   0.022   0.022   0.002   0.205   0.066   0.000   0.358
