  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   7.000   0.000   0.106   0.200   0.000   0.063   0.123
   0.025   7.000   0.000   0.103   0.197   0.000   0.063   0.123
   0.050   7.000   0.000   0.101   0.195   0.000   0.064   0.124
   0.075   7.000   0.000   0.099   0.194   0.000   0.066   0.125
   0.100   7.000   0.000   0.097   0.195   0.000   0.068   0.127
   0.125   7.000   0.000   0.095   0.198   0.000   0.071   0.129
   0.150   7.000   0.000   0.094   0.201   0.000   0.074   0.132
   0.175   7.000   0.000   0.092   0.206   0.000   0.077   0.134
   0.200   7.000   0.000   0.091   0.211   0.000   0.080   0.136
   0.225   7.000   0.000   0.088   0.217   0.000   0.083   0.136
   0.250   7.000   0.000   0.085   0.221   0.000   0.084   0.135
   0.275   7.000   0.000   0.082   0.224   0.000   0.085   0.133
   0.300   7.000   0.000   0.080   0.228   0.000   0.087   0.130
   0.325   7.000   0.000   0.079   0.231   0.000   0.089   0.129
   0.350   7.000   0.000   0.078   0.235   0.000   0.092   0.128
   0.375   7.000   0.000   0.078   0.239   0.000   0.096   0.127
   0.400   7.000   0.000   0.078   0.243   0.000   0.100   0.127
   0.425   7.000   0.000   0.077   0.248   0.000   0.104   0.127
   0.450   7.000   0.000   0.077   0.253   0.000   0.108   0.128
   0.475   7.000   0.000   0.076   0.258   0.000   0.113   0.128
   0.500   7.000   0.001   0.075   0.263   0.000   0.118   0.129
   0.525   7.000   0.001   0.074   0.268   0.000   0.123   0.129
   0.550   7.000   0.001   0.072   0.273   0.000   0.128   0.129
   0.575   6.000   0.001   0.070   0.279   0.000   0.134   0.128
   0.600   6.000   0.001   0.068   0.284   0.001   0.139   0.127
   0.625   6.000   0.001   0.066   0.289   0.001   0.145   0.126
   0.650   6.000   0.001   0.063   0.294   0.001   0.152   0.125
   0.675   6.000   0.001   0.060   0.299   0.001   0.158   0.123
   0.700   6.000   0.001   0.057   0.305   0.001   0.165   0.120
   0.725   6.000   0.001   0.054   0.310   0.001   0.172   0.118
   0.750   6.000   0.001   0.050   0.315   0.001   0.180   0.114
   0.775   6.000   0.002   0.046   0.320   0.001   0.188   0.110
   0.800   6.000   0.002   0.042   0.325   0.001   0.196   0.106
   0.825   6.000   0.002   0.038   0.330   0.002   0.204   0.101
   0.850   6.000   0.002   0.034   0.335   0.002   0.213   0.096
   0.875   6.000   0.003   0.029   0.340   0.002   0.223   0.090
   0.900   6.000   0.003   0.025   0.344   0.002   0.232   0.084
   0.925   6.000   0.004   0.021   0.349   0.003   0.242   0.077
   0.950   6.000   0.004   0.017   0.353   0.003   0.251   0.071
   0.975   5.000   0.005   0.013   0.355   0.003   0.259   0.064
   1.000   4.000   0.006   0.009   0.356   0.003   0.267   0.058
