  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   7.000   0.146   0.031   0.138   0.095   0.000   0.064
   0.025   7.000   0.142   0.031   0.142   0.088   0.000   0.065
   0.050   7.000   0.138   0.030   0.148   0.080   0.000   0.067
   0.075   7.000   0.134   0.029   0.154   0.072   0.000   0.068
   0.100   7.000   0.130   0.028   0.161   0.065   0.000   0.067
   0.125   7.000   0.127   0.027   0.168   0.061   0.000   0.064
   0.150   7.000   0.125   0.027   0.175   0.060   0.000   0.062
   0.175   7.000   0.124   0.026   0.183   0.059   0.000   0.058
   0.200   7.000   0.124   0.026   0.190   0.060   0.000   0.055
   0.225   7.000   0.125   0.026   0.199   0.062   0.000   0.052
   0.250   7.000   0.126   0.026   0.207   0.064   0.000   0.049
   0.275   7.000   0.128   0.026   0.216   0.067   0.000   0.046
   0.300   7.000   0.130   0.027   0.225   0.070   0.000   0.043
   0.325   7.000   0.132   0.028   0.234   0.073   0.000   0.040
   0.350   7.000   0.135   0.028   0.244   0.077   0.000   0.037
   0.375   7.000   0.138   0.029   0.253   0.080   0.000   0.034
   0.400   6.000   0.140   0.031   0.261   0.084   0.000   0.031
   0.425   6.000   0.143   0.032   0.270   0.087   0.000   0.028
   0.450   6.000   0.146   0.033   0.278   0.090   0.000   0.026
   0.475   6.000   0.148   0.034   0.285   0.093   0.000   0.024
   0.500   5.000   0.150   0.035   0.292   0.096   0.000   0.022
   0.525   5.000   0.152   0.037   0.298   0.098   0.000   0.022
   0.550   5.000   0.153   0.038   0.303   0.100   0.000   0.022
   0.575   5.000   0.154   0.039   0.308   0.102   0.000   0.023
   0.600   5.000   0.154   0.041   0.312   0.103   0.000   0.025
   0.625   5.000   0.154   0.042   0.315   0.104   0.000   0.028
   0.650   6.000   0.153   0.043   0.318   0.104   0.000   0.032
   0.675   7.000   0.152   0.044   0.320   0.104   0.000   0.037
   0.700   7.000   0.150   0.045   0.321   0.104   0.000   0.043
   0.725   7.000   0.148   0.046   0.322   0.104   0.000   0.049
   0.750   7.000   0.145   0.047   0.323   0.103   0.000   0.056
   0.775   7.000   0.142   0.048   0.323   0.102   0.000   0.064
   0.800   7.000   0.139   0.048   0.323   0.101   0.000   0.072
   0.825   7.000   0.135   0.049   0.322   0.100   0.000   0.080
   0.850   7.000   0.131   0.049   0.322   0.098   0.000   0.089
   0.875   7.000   0.127   0.050   0.320   0.097   0.000   0.098
   0.900   7.000   0.123   0.050   0.319   0.096   0.000   0.108
   0.925   7.000   0.119   0.050   0.317   0.094   0.000   0.117
   0.950   7.000   0.114   0.050   0.314   0.093   0.000   0.126
   0.975   7.000   0.109   0.049   0.311   0.092   0.000   0.135
   1.000   7.000   0.105   0.048   0.307   0.090   0.000   0.143
