  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.045   0.075   0.262   0.054   0.001   0.060
   0.025   6.000   0.043   0.073   0.256   0.053   0.001   0.064
   0.050   6.000   0.042   0.071   0.253   0.051   0.001   0.069
   0.075   6.000   0.041   0.070   0.251   0.049   0.001   0.075
   0.100   6.000   0.041   0.070   0.251   0.047   0.001   0.082
   0.125   6.000   0.041   0.071   0.253   0.044   0.001   0.090
   0.150   6.000   0.040   0.073   0.256   0.041   0.001   0.100
   0.175   6.000   0.040   0.074   0.260   0.038   0.001   0.111
   0.200   7.000   0.040   0.076   0.264   0.034   0.001   0.121
   0.225   7.000   0.039   0.078   0.268   0.031   0.001   0.132
   0.250   7.000   0.039   0.079   0.271   0.029   0.002   0.143
   0.275   7.000   0.038   0.080   0.273   0.026   0.002   0.153
   0.300   7.000   0.038   0.081   0.275   0.025   0.002   0.163
   0.325   7.000   0.037   0.081   0.277   0.024   0.002   0.174
   0.350   8.000   0.037   0.082   0.278   0.023   0.002   0.185
   0.375   8.000   0.036   0.082   0.279   0.023   0.002   0.196
   0.400   8.000   0.036   0.081   0.280   0.023   0.002   0.207
   0.425   8.000   0.035   0.081   0.280   0.023   0.002   0.218
   0.450   8.000   0.035   0.081   0.281   0.023   0.002   0.229
   0.475   8.000   0.034   0.080   0.281   0.023   0.002   0.240
   0.500   8.000   0.034   0.079   0.281   0.024   0.002   0.251
   0.525   8.000   0.033   0.078   0.280   0.024   0.002   0.261
   0.550   9.000   0.033   0.077   0.280   0.025   0.002   0.271
   0.575   9.000   0.032   0.076   0.279   0.025   0.002   0.281
   0.600   9.000   0.031   0.075   0.279   0.026   0.002   0.290
   0.625  10.000   0.031   0.074   0.278   0.027   0.002   0.299
   0.650  10.000   0.030   0.072   0.277   0.027   0.002   0.308
   0.675  10.000   0.030   0.071   0.276   0.028   0.002   0.317
   0.700  10.000   0.029   0.070   0.274   0.029   0.002   0.325
   0.725  10.000   0.029   0.068   0.273   0.030   0.002   0.332
   0.750  10.000   0.028   0.067   0.272   0.030   0.002   0.340
   0.775  10.000   0.028   0.065   0.271   0.031   0.002   0.347
   0.800  10.000   0.027   0.064   0.269   0.032   0.001   0.353
   0.825  10.000   0.027   0.062   0.268   0.033   0.001   0.360
   0.850  10.000   0.026   0.061   0.266   0.034   0.001   0.366
   0.875  11.000   0.026   0.059   0.265   0.035   0.001   0.372
   0.900  11.000   0.026   0.058   0.263   0.036   0.001   0.375
   0.925  11.000   0.025   0.056   0.260   0.037   0.001   0.378
   0.950  11.000   0.025   0.054   0.258   0.038   0.001   0.382
   0.975  11.000   0.025   0.053   0.256   0.039   0.001   0.384
   1.000  11.000   0.024   0.051   0.254   0.040   0.001   0.387
