  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.094   0.093   0.187
   0.025  22.000   0.094   0.094   0.189
   0.050  22.000   0.095   0.095   0.190
   0.075  22.000   0.095   0.095   0.190
   0.100  22.000   0.095   0.095   0.191
   0.125  22.000   0.095   0.095   0.191
   0.150  21.000   0.095   0.095   0.191
   0.175  21.000   0.095   0.095   0.191
   0.200  21.000   0.095   0.095   0.190
   0.225  21.000   0.095   0.095   0.190
   0.250  21.000   0.095   0.095   0.190
   0.275  21.000   0.095   0.095   0.189
   0.300  20.000   0.094   0.094   0.188
   0.325  20.000   0.094   0.093   0.186
   0.350  20.000   0.093   0.092   0.184
   0.375  21.000   0.092   0.091   0.182
   0.400  24.000   0.090   0.089   0.179
   0.425  24.000   0.089   0.088   0.176
   0.450  25.000   0.087   0.087   0.173
   0.475  26.000   0.085   0.085   0.171
   0.500  26.000   0.083   0.084   0.168
   0.525  27.000   0.082   0.084   0.166
   0.550  28.000   0.080   0.083   0.164
   0.575  30.000   0.078   0.082   0.161
   0.600  30.000   0.076   0.081   0.159
   0.625  27.000   0.075   0.080   0.156
   0.650  27.000   0.073   0.078   0.154
   0.675  27.000   0.072   0.077   0.151
   0.700  26.000   0.071   0.075   0.148
   0.725  26.000   0.069   0.074   0.145
   0.750  27.000   0.068   0.072   0.142
   0.775  27.000   0.067   0.071   0.140
   0.800  27.000   0.066   0.070   0.137
   0.825  28.000   0.065   0.069   0.135
   0.850  28.000   0.064   0.067   0.133
   0.875  28.000   0.063   0.066   0.131
   0.900  28.000   0.063   0.065   0.129
   0.925  27.000   0.062   0.064   0.127
   0.950  27.000   0.061   0.063   0.125
   0.975  27.000   0.060   0.063   0.124
   1.000  27.000   0.060   0.062   0.122
