  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.115   0.111   0.224
   0.025  20.000   0.115   0.111   0.225
   0.050  20.000   0.115   0.111   0.225
   0.075  20.000   0.116   0.112   0.225
   0.100  21.000   0.115   0.111   0.225
   0.125  22.000   0.114   0.111   0.224
   0.150  22.000   0.113   0.110   0.222
   0.175  22.000   0.111   0.109   0.219
   0.200  22.000   0.109   0.107   0.216
   0.225  23.000   0.107   0.106   0.212
   0.250  23.000   0.104   0.104   0.208
   0.275  23.000   0.102   0.102   0.203
   0.300  23.000   0.099   0.099   0.199
   0.325  23.000   0.096   0.097   0.194
   0.350  23.000   0.094   0.095   0.190
   0.375  23.000   0.091   0.093   0.185
   0.400  22.000   0.089   0.091   0.181
   0.425  21.000   0.086   0.089   0.177
   0.450  21.000   0.084   0.087   0.173
   0.475  21.000   0.082   0.085   0.169
   0.500  21.000   0.080   0.084   0.165
   0.525  21.000   0.078   0.082   0.162
   0.550  21.000   0.076   0.081   0.159
   0.575  21.000   0.075   0.079   0.156
   0.600  21.000   0.073   0.078   0.153
   0.625  22.000   0.072   0.077   0.150
   0.650  22.000   0.070   0.075   0.148
   0.675  22.000   0.069   0.074   0.146
   0.700  22.000   0.068   0.073   0.143
   0.725  21.000   0.067   0.072   0.142
   0.750  20.000   0.066   0.071   0.140
   0.775  19.000   0.065   0.071   0.138
   0.800  19.000   0.064   0.070   0.136
   0.825  19.000   0.063   0.069   0.135
   0.850  19.000   0.063   0.068   0.134
   0.875  19.000   0.062   0.068   0.132
   0.900  19.000   0.062   0.067   0.131
   0.925  18.000   0.061   0.067   0.130
   0.950  18.000   0.061   0.066   0.129
   0.975  16.000   0.061   0.066   0.129
   1.000  19.000   0.061   0.066   0.130
