  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  24.000   0.124   0.124   0.248
   0.025  23.000   0.123   0.125   0.249
   0.050  21.000   0.122   0.125   0.249
   0.075  20.000   0.122   0.126   0.250
   0.100  20.000   0.122   0.128   0.253
   0.125  20.000   0.123   0.130   0.256
   0.150  20.000   0.123   0.131   0.257
   0.175  20.000   0.122   0.132   0.258
   0.200  21.000   0.122   0.131   0.257
   0.225  21.000   0.121   0.130   0.255
   0.250  22.000   0.119   0.128   0.251
   0.275  22.000   0.117   0.126   0.248
   0.300  22.000   0.115   0.124   0.243
   0.325  22.000   0.113   0.122   0.239
   0.350  22.000   0.111   0.119   0.234
   0.375  22.000   0.109   0.116   0.228
   0.400  22.000   0.106   0.114   0.223
   0.425  22.000   0.104   0.111   0.218
   0.450  22.000   0.102   0.109   0.213
   0.475  22.000   0.099   0.106   0.208
   0.500  22.000   0.097   0.104   0.204
   0.525  23.000   0.095   0.102   0.200
   0.550  23.000   0.093   0.100   0.196
   0.575  22.000   0.091   0.098   0.192
   0.600  22.000   0.090   0.096   0.188
   0.625  21.000   0.088   0.094   0.185
   0.650  21.000   0.087   0.093   0.182
   0.675  21.000   0.085   0.091   0.179
   0.700  21.000   0.084   0.090   0.176
   0.725  20.000   0.083   0.089   0.174
   0.750  20.000   0.082   0.087   0.172
   0.775  20.000   0.081   0.086   0.170
   0.800  20.000   0.080   0.085   0.168
   0.825  20.000   0.079   0.084   0.166
   0.850  20.000   0.078   0.084   0.164
   0.875  20.000   0.078   0.083   0.162
   0.900  20.000   0.077   0.082   0.161
   0.925  20.000   0.076   0.081   0.159
   0.950  20.000   0.076   0.081   0.160
   0.975  20.000   0.077   0.082   0.161
   1.000  20.000   0.077   0.082   0.161
