  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   6.000   0.082   0.000   0.150   0.044   0.147   0.000   0.066
   0.025   6.000   0.079   0.000   0.149   0.046   0.145   0.000   0.064
   0.050   6.000   0.076   0.000   0.150   0.050   0.143   0.000   0.063
   0.075   6.000   0.073   0.000   0.151   0.056   0.140   0.000   0.063
   0.100   6.000   0.070   0.000   0.152   0.062   0.136   0.000   0.065
   0.125   6.000   0.066   0.000   0.153   0.068   0.132   0.000   0.066
   0.150   6.000   0.061   0.000   0.153   0.073   0.129   0.000   0.066
   0.175   6.000   0.055   0.000   0.155   0.077   0.128   0.000   0.065
   0.200   6.000   0.051   0.000   0.157   0.081   0.131   0.000   0.063
   0.225   6.000   0.046   0.000   0.160   0.084   0.135   0.000   0.061
   0.250   6.000   0.042   0.000   0.164   0.088   0.141   0.000   0.058
   0.275   6.000   0.038   0.000   0.168   0.091   0.149   0.000   0.056
   0.300   6.000   0.035   0.000   0.173   0.094   0.158   0.000   0.053
   0.325   6.000   0.032   0.000   0.178   0.097   0.167   0.000   0.050
   0.350   6.000   0.029   0.000   0.184   0.099   0.178   0.000   0.047
   0.375   6.000   0.026   0.000   0.189   0.102   0.188   0.000   0.043
   0.400   6.000   0.024   0.000   0.195   0.104   0.200   0.000   0.040
   0.425   6.000   0.021   0.000   0.201   0.106   0.211   0.000   0.036
   0.450   6.000   0.019   0.000   0.206   0.108   0.223   0.000   0.032
   0.475   5.000   0.017   0.000   0.211   0.109   0.235   0.000   0.028
   0.500   5.000   0.014   0.001   0.216   0.110   0.246   0.000   0.024
   0.525   3.000   0.012   0.001   0.220   0.110   0.257   0.000   0.021
   0.550   3.000   0.010   0.002   0.223   0.109   0.268   0.000   0.019
   0.575   3.000   0.009   0.004   0.225   0.108   0.278   0.000   0.017
   0.600   3.000   0.007   0.006   0.227   0.106   0.287   0.000   0.016
   0.625   3.000   0.006   0.008   0.226   0.104   0.296   0.000   0.015
   0.650   3.000   0.005   0.012   0.225   0.100   0.304   0.000   0.016
   0.675   3.000   0.004   0.015   0.223   0.097   0.311   0.000   0.017
   0.700   4.000   0.003   0.019   0.219   0.093   0.317   0.000   0.020
   0.725   4.000   0.003   0.023   0.215   0.088   0.322   0.000   0.023
   0.750   4.000   0.002   0.027   0.210   0.084   0.327   0.000   0.028
   0.775   5.000   0.002   0.031   0.205   0.079   0.331   0.000   0.033
   0.800   5.000   0.002   0.034   0.199   0.075   0.334   0.000   0.038
   0.825   5.000   0.001   0.037   0.193   0.071   0.336   0.000   0.045
   0.850   6.000   0.001   0.039   0.187   0.067   0.338   0.000   0.051
   0.875   6.000   0.001   0.041   0.181   0.064   0.339   0.000   0.059
   0.900   6.000   0.001   0.043   0.175   0.061   0.340   0.000   0.066
   0.925   6.000   0.001   0.044   0.169   0.058   0.340   0.000   0.074
   0.950   6.000   0.001   0.045   0.163   0.055   0.340   0.000   0.082
   0.975   6.000   0.001   0.046   0.158   0.053   0.340   0.000   0.090
   1.000   6.000   0.001   0.047   0.152   0.051   0.339   0.000   0.099
