  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.128   0.127   0.255
   0.025  22.000   0.129   0.130   0.259
   0.050  21.000   0.130   0.131   0.262
   0.075  21.000   0.130   0.133   0.264
   0.100  21.000   0.129   0.134   0.264
   0.125  20.000   0.128   0.134   0.264
   0.150  20.000   0.127   0.133   0.263
   0.175  21.000   0.125   0.132   0.260
   0.200  22.000   0.123   0.131   0.257
   0.225  22.000   0.121   0.129   0.253
   0.250  21.000   0.118   0.127   0.249
   0.275  20.000   0.116   0.124   0.243
   0.300  20.000   0.113   0.121   0.237
   0.325  19.000   0.110   0.117   0.230
   0.350  18.000   0.107   0.114   0.223
   0.375  15.000   0.105   0.111   0.219
   0.400  19.000   0.106   0.111   0.219
   0.425  20.000   0.106   0.112   0.221
   0.450  21.000   0.106   0.112   0.221
   0.475  21.000   0.106   0.112   0.221
   0.500  21.000   0.105   0.111   0.219
   0.525  21.000   0.103   0.110   0.215
   0.550  20.000   0.101   0.108   0.212
   0.575  20.000   0.099   0.106   0.208
   0.600  21.000   0.096   0.104   0.204
   0.625  21.000   0.094   0.102   0.199
   0.650  21.000   0.092   0.100   0.195
   0.675  21.000   0.090   0.098   0.191
   0.700  22.000   0.089   0.096   0.188
   0.725  22.000   0.087   0.094   0.184
   0.750  23.000   0.085   0.092   0.181
   0.775  23.000   0.084   0.091   0.178
   0.800  23.000   0.083   0.089   0.175
   0.825  23.000   0.082   0.088   0.172
   0.850  23.000   0.080   0.087   0.170
   0.875  23.000   0.079   0.085   0.167
   0.900  23.000   0.078   0.084   0.165
   0.925  23.000   0.078   0.084   0.165
   0.950  23.000   0.078   0.084   0.165
   0.975  22.000   0.078   0.084   0.165
   1.000  22.000   0.079   0.084   0.165
