  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.000   0.204   0.125   0.106   0.002   0.111
   0.025   6.000   0.000   0.204   0.123   0.102   0.002   0.114
   0.050   6.000   0.000   0.205   0.121   0.098   0.001   0.118
   0.075   6.000   0.000   0.205   0.118   0.094   0.001   0.122
   0.100   7.000   0.000   0.205   0.116   0.091   0.001   0.127
   0.125   7.000   0.000   0.204   0.114   0.089   0.001   0.132
   0.150   7.000   0.000   0.203   0.113   0.088   0.001   0.139
   0.175   7.000   0.000   0.202   0.112   0.087   0.001   0.147
   0.200   7.000   0.000   0.202   0.113   0.087   0.001   0.155
   0.225   7.000   0.000   0.202   0.113   0.088   0.001   0.164
   0.250   7.000   0.000   0.202   0.115   0.088   0.001   0.173
   0.275   7.000   0.000   0.202   0.116   0.089   0.001   0.183
   0.300   7.000   0.000   0.203   0.118   0.090   0.001   0.192
   0.325   7.000   0.000   0.203   0.120   0.090   0.001   0.201
   0.350   7.000   0.000   0.204   0.123   0.091   0.001   0.209
   0.375   7.000   0.000   0.205   0.125   0.091   0.001   0.218
   0.400   7.000   0.000   0.205   0.128   0.090   0.001   0.226
   0.425   7.000   0.000   0.206   0.130   0.090   0.001   0.233
   0.450   8.000   0.000   0.207   0.133   0.089   0.001   0.241
   0.475   8.000   0.000   0.207   0.135   0.088   0.001   0.248
   0.500   8.000   0.000   0.208   0.138   0.086   0.001   0.255
   0.525   8.000   0.000   0.209   0.140   0.084   0.001   0.262
   0.550   8.000   0.000   0.209   0.143   0.082   0.001   0.269
   0.575   8.000   0.000   0.210   0.145   0.080   0.001   0.275
   0.600   8.000   0.000   0.211   0.148   0.077   0.001   0.282
   0.625   8.000   0.000   0.211   0.150   0.074   0.001   0.288
   0.650   8.000   0.000   0.212   0.152   0.070   0.001   0.294
   0.675   8.000   0.000   0.213   0.154   0.067   0.000   0.301
   0.700   9.000   0.000   0.213   0.156   0.063   0.000   0.307
   0.725   9.000   0.000   0.214   0.158   0.059   0.000   0.313
   0.750   9.000   0.000   0.215   0.160   0.054   0.000   0.319
   0.775   9.000   0.000   0.215   0.162   0.050   0.000   0.325
   0.800   9.000   0.000   0.216   0.164   0.045   0.000   0.331
   0.825   9.000   0.000   0.217   0.166   0.041   0.000   0.337
   0.850   9.000   0.000   0.217   0.168   0.036   0.000   0.342
   0.875   9.000   0.000   0.218   0.170   0.032   0.000   0.348
   0.900   9.000   0.000   0.218   0.171   0.028   0.000   0.353
   0.925   9.000   0.000   0.219   0.173   0.024   0.000   0.358
   0.950   9.000   0.000   0.219   0.174   0.020   0.000   0.361
   0.975   9.000   0.000   0.218   0.175   0.016   0.000   0.364
   1.000   9.000   0.000   0.218   0.176   0.013   0.000   0.366
