  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   3.000   0.000   0.210   0.003   0.294   0.000   0.081   0.015
   0.025   3.000   0.000   0.203   0.002   0.293   0.000   0.077   0.017
   0.050   3.000   0.000   0.197   0.001   0.292   0.000   0.073   0.019
   0.075   3.000   0.000   0.191   0.001   0.290   0.000   0.070   0.022
   0.100   3.000   0.000   0.186   0.001   0.289   0.000   0.067   0.025
   0.125   3.000   0.001   0.182   0.000   0.288   0.000   0.065   0.029
   0.150   4.000   0.001   0.179   0.000   0.287   0.000   0.063   0.033
   0.175   4.000   0.001   0.176   0.000   0.288   0.000   0.062   0.038
   0.200   4.000   0.001   0.174   0.000   0.288   0.000   0.061   0.044
   0.225   4.000   0.001   0.172   0.000   0.290   0.000   0.060   0.050
   0.250   4.000   0.002   0.171   0.000   0.291   0.000   0.059   0.057
   0.275   4.000   0.002   0.170   0.000   0.294   0.000   0.059   0.064
   0.300   6.000   0.002   0.168   0.000   0.296   0.000   0.058   0.073
   0.325   6.000   0.003   0.167   0.000   0.298   0.000   0.057   0.081
   0.350   6.000   0.003   0.166   0.000   0.300   0.000   0.056   0.091
   0.375   6.000   0.003   0.164   0.000   0.303   0.000   0.055   0.101
   0.400   6.000   0.003   0.162   0.000   0.305   0.000   0.054   0.111
   0.425   6.000   0.004   0.160   0.000   0.307   0.000   0.053   0.121
   0.450   6.000   0.004   0.158   0.000   0.308   0.000   0.052   0.132
   0.475   6.000   0.004   0.156   0.000   0.309   0.000   0.051   0.143
   0.500   6.000   0.004   0.154   0.000   0.310   0.000   0.049   0.154
   0.525   7.000   0.004   0.152   0.000   0.311   0.000   0.048   0.165
   0.550   7.000   0.004   0.149   0.000   0.311   0.000   0.047   0.175
   0.575   7.000   0.004   0.147   0.000   0.311   0.000   0.045   0.186
   0.600   7.000   0.004   0.144   0.000   0.311   0.000   0.044   0.197
   0.625   7.000   0.004   0.142   0.000   0.311   0.000   0.043   0.207
   0.650   8.000   0.004   0.139   0.000   0.310   0.000   0.042   0.217
   0.675   8.000   0.003   0.137   0.000   0.309   0.000   0.041   0.227
   0.700   8.000   0.003   0.134   0.000   0.308   0.000   0.040   0.236
   0.725   8.000   0.003   0.132   0.000   0.307   0.000   0.039   0.246
   0.750   9.000   0.003   0.130   0.000   0.306   0.000   0.039   0.254
   0.775   9.000   0.003   0.127   0.000   0.304   0.000   0.038   0.263
   0.800   9.000   0.003   0.125   0.000   0.303   0.000   0.037   0.271
   0.825   9.000   0.002   0.123   0.000   0.301   0.000   0.037   0.279
   0.850   9.000   0.002   0.121   0.000   0.300   0.000   0.037   0.287
   0.875   9.000   0.002   0.119   0.000   0.298   0.000   0.036   0.294
   0.900   9.000   0.002   0.117   0.000   0.296   0.000   0.036   0.302
   0.925   9.000   0.002   0.115   0.000   0.295   0.000   0.036   0.308
   0.950   9.000   0.002   0.114   0.000   0.293   0.000   0.036   0.315
   0.975   9.000   0.002   0.112   0.000   0.290   0.000   0.035   0.319
   1.000   9.000   0.002   0.110   0.000   0.288   0.000   0.035   0.323
