  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.000   0.008   0.150   0.001   0.183   0.179
   0.025   6.000   0.000   0.008   0.144   0.001   0.178   0.180
   0.050   6.000   0.000   0.008   0.140   0.001   0.173   0.182
   0.075   6.000   0.000   0.008   0.137   0.001   0.169   0.184
   0.100   7.000   0.000   0.008   0.135   0.001   0.165   0.186
   0.125   7.000   0.000   0.009   0.133   0.001   0.163   0.190
   0.150   8.000   0.000   0.009   0.132   0.001   0.161   0.194
   0.175   8.000   0.000   0.009   0.132   0.001   0.160   0.201
   0.200   8.000   0.000   0.010   0.133   0.001   0.160   0.209
   0.225   8.000   0.000   0.010   0.134   0.001   0.161   0.218
   0.250   9.000   0.000   0.009   0.135   0.001   0.162   0.228
   0.275   9.000   0.000   0.009   0.136   0.001   0.164   0.239
   0.300   9.000   0.000   0.009   0.137   0.001   0.166   0.251
   0.325   9.000   0.000   0.008   0.138   0.001   0.169   0.263
   0.350  10.000   0.000   0.008   0.139   0.001   0.172   0.274
   0.375  10.000   0.000   0.007   0.139   0.001   0.174   0.286
   0.400  10.000   0.001   0.006   0.139   0.001   0.177   0.297
   0.425  10.000   0.001   0.006   0.139   0.001   0.180   0.308
   0.450  10.000   0.001   0.005   0.138   0.001   0.182   0.318
   0.475  10.000   0.001   0.004   0.137   0.001   0.184   0.328
   0.500  10.000   0.001   0.004   0.136   0.002   0.187   0.338
   0.525  10.000   0.001   0.003   0.135   0.002   0.189   0.347
   0.550  10.000   0.001   0.002   0.134   0.002   0.191   0.355
   0.575  10.000   0.001   0.002   0.132   0.002   0.193   0.363
   0.600  10.000   0.001   0.002   0.131   0.002   0.195   0.370
   0.625  10.000   0.002   0.001   0.129   0.002   0.197   0.377
   0.650  10.000   0.002   0.001   0.127   0.002   0.198   0.384
   0.675  10.000   0.002   0.001   0.125   0.003   0.200   0.390
   0.700  10.000   0.002   0.001   0.124   0.003   0.201   0.395
   0.725  10.000   0.002   0.000   0.122   0.003   0.203   0.401
   0.750  10.000   0.003   0.000   0.120   0.003   0.204   0.405
   0.775  10.000   0.003   0.000   0.118   0.003   0.205   0.410
   0.800  10.000   0.003   0.000   0.116   0.004   0.207   0.414
   0.825  11.000   0.003   0.000   0.114   0.004   0.208   0.418
   0.850  11.000   0.004   0.000   0.112   0.004   0.209   0.422
   0.875  11.000   0.004   0.000   0.110   0.004   0.210   0.426
   0.900  11.000   0.004   0.000   0.109   0.005   0.211   0.429
   0.925  11.000   0.005   0.000   0.107   0.005   0.212   0.432
   0.950  11.000   0.005   0.000   0.105   0.005   0.212   0.434
   0.975  11.000   0.005   0.000   0.103   0.005   0.212   0.435
   1.000  11.000   0.006   0.000   0.101   0.006   0.213   0.436
