  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.098   0.106   0.207
   0.025  19.000   0.099   0.107   0.209
   0.050  18.000   0.098   0.107   0.209
   0.075  14.000   0.099   0.108   0.211
   0.100  17.000   0.102   0.111   0.216
   0.125  20.000   0.105   0.114   0.223
   0.150  20.000   0.108   0.117   0.228
   0.175  19.000   0.109   0.119   0.232
   0.200  20.000   0.110   0.119   0.233
   0.225  21.000   0.110   0.120   0.234
   0.250  21.000   0.109   0.119   0.233
   0.275  21.000   0.109   0.118   0.231
   0.300  21.000   0.108   0.117   0.229
   0.325  21.000   0.106   0.116   0.226
   0.350  21.000   0.105   0.114   0.223
   0.375  22.000   0.104   0.112   0.220
   0.400  22.000   0.103   0.111   0.217
   0.425  22.000   0.101   0.109   0.213
   0.450  22.000   0.100   0.107   0.210
   0.475  23.000   0.098   0.105   0.207
   0.500  23.000   0.097   0.104   0.203
   0.525  23.000   0.096   0.102   0.200
   0.550  22.000   0.094   0.100   0.197
   0.575  22.000   0.093   0.099   0.194
   0.600  22.000   0.092   0.097   0.191
   0.625  22.000   0.090   0.096   0.189
   0.650  21.000   0.089   0.095   0.186
   0.675  21.000   0.088   0.093   0.184
   0.700  21.000   0.087   0.092   0.181
   0.725  21.000   0.086   0.091   0.179
   0.750  21.000   0.085   0.090   0.177
   0.775  21.000   0.084   0.089   0.175
   0.800  20.000   0.083   0.088   0.173
   0.825  20.000   0.082   0.087   0.171
   0.850  20.000   0.081   0.086   0.169
   0.875  20.000   0.080   0.085   0.168
   0.900  20.000   0.080   0.084   0.166
   0.925  20.000   0.079   0.084   0.164
   0.950  20.000   0.078   0.083   0.163
   0.975  20.000   0.077   0.082   0.161
   1.000  20.000   0.077   0.081   0.160
