  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   5.000   0.005   0.003   0.208   0.005   0.235   0.075
   0.025   5.000   0.005   0.002   0.202   0.004   0.233   0.079
   0.050   5.000   0.005   0.002   0.197   0.004   0.230   0.084
   0.075   5.000   0.005   0.001   0.193   0.004   0.228   0.089
   0.100   5.000   0.005   0.001   0.189   0.004   0.225   0.094
   0.125   5.000   0.005   0.001   0.186   0.004   0.223   0.099
   0.150   5.000   0.005   0.001   0.184   0.004   0.222   0.105
   0.175   6.000   0.006   0.001   0.182   0.003   0.221   0.112
   0.200   6.000   0.006   0.001   0.181   0.003   0.221   0.120
   0.225   6.000   0.007   0.000   0.180   0.003   0.221   0.129
   0.250   6.000   0.007   0.000   0.180   0.003   0.223   0.139
   0.275   6.000   0.008   0.000   0.179   0.004   0.224   0.149
   0.300   6.000   0.009   0.000   0.178   0.004   0.226   0.160
   0.325   6.000   0.010   0.000   0.177   0.004   0.228   0.171
   0.350   6.000   0.011   0.000   0.175   0.004   0.230   0.182
   0.375   6.000   0.012   0.000   0.173   0.004   0.232   0.193
   0.400   8.000   0.012   0.000   0.170   0.004   0.233   0.205
   0.425   8.000   0.013   0.000   0.168   0.005   0.235   0.216
   0.450   8.000   0.014   0.000   0.165   0.005   0.237   0.227
   0.475   8.000   0.015   0.000   0.161   0.005   0.238   0.238
   0.500   9.000   0.016   0.000   0.158   0.005   0.239   0.248
   0.525   9.000   0.017   0.000   0.154   0.006   0.240   0.259
   0.550   9.000   0.017   0.000   0.150   0.006   0.241   0.269
   0.575   9.000   0.018   0.000   0.147   0.006   0.242   0.279
   0.600   9.000   0.019   0.000   0.143   0.007   0.243   0.288
   0.625   9.000   0.019   0.000   0.139   0.007   0.243   0.298
   0.650   9.000   0.020   0.000   0.135   0.007   0.244   0.307
   0.675   9.000   0.020   0.000   0.131   0.008   0.244   0.315
   0.700   9.000   0.021   0.000   0.128   0.008   0.244   0.323
   0.725   9.000   0.021   0.000   0.124   0.009   0.244   0.331
   0.750   9.000   0.021   0.000   0.121   0.009   0.244   0.339
   0.775   9.000   0.022   0.000   0.117   0.009   0.244   0.346
   0.800   9.000   0.022   0.000   0.114   0.010   0.244   0.353
   0.825   9.000   0.022   0.000   0.111   0.010   0.244   0.360
   0.850   9.000   0.022   0.000   0.107   0.011   0.243   0.366
   0.875   9.000   0.023   0.000   0.104   0.011   0.243   0.373
   0.900   9.000   0.023   0.000   0.101   0.012   0.243   0.378
   0.925  10.000   0.023   0.000   0.099   0.012   0.243   0.384
   0.950  11.000   0.023   0.000   0.095   0.013   0.242   0.388
   0.975  11.000   0.023   0.000   0.093   0.013   0.241   0.391
   1.000  11.000   0.023   0.000   0.090   0.014   0.240   0.394
