TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  168.58   15.30 -165.69  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
  170.00   30.00 -170.00   0.0003500
