  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   7.000   0.174   0.063   0.042   0.037   0.022   0.123
   0.025   7.000   0.170   0.062   0.041   0.029   0.023   0.130
   0.050   7.000   0.165   0.060   0.040   0.022   0.024   0.136
   0.075   7.000   0.161   0.060   0.038   0.017   0.025   0.140
   0.100   8.000   0.156   0.060   0.036   0.014   0.025   0.143
   0.125   8.000   0.153   0.060   0.035   0.012   0.025   0.146
   0.150   8.000   0.150   0.061   0.034   0.011   0.025   0.149
   0.175   8.000   0.148   0.063   0.032   0.010   0.025   0.154
   0.200   9.000   0.148   0.064   0.032   0.009   0.025   0.159
   0.225   9.000   0.148   0.066   0.031   0.008   0.025   0.166
   0.250   9.000   0.149   0.068   0.031   0.008   0.024   0.173
   0.275   8.000   0.151   0.070   0.030   0.007   0.023   0.181
   0.300   8.000   0.153   0.072   0.031   0.007   0.023   0.189
   0.325   8.000   0.156   0.074   0.031   0.006   0.022   0.198
   0.350   8.000   0.159   0.077   0.031   0.006   0.020   0.207
   0.375   8.000   0.162   0.079   0.032   0.005   0.019   0.216
   0.400   8.000   0.166   0.081   0.032   0.005   0.017   0.225
   0.425   8.000   0.169   0.082   0.033   0.004   0.016   0.234
   0.450   8.000   0.173   0.084   0.034   0.004   0.014   0.243
   0.475   8.000   0.177   0.085   0.034   0.003   0.013   0.251
   0.500   8.000   0.180   0.087   0.035   0.003   0.011   0.259
   0.525   8.000   0.184   0.088   0.036   0.002   0.009   0.267
   0.550   8.000   0.187   0.089   0.037   0.002   0.008   0.274
   0.575   8.000   0.190   0.089   0.038   0.001   0.007   0.280
   0.600   8.000   0.193   0.090   0.039   0.001   0.005   0.286
   0.625   8.000   0.196   0.090   0.039   0.001   0.004   0.292
   0.650   7.000   0.199   0.090   0.040   0.001   0.003   0.297
   0.675   7.000   0.201   0.090   0.041   0.000   0.003   0.302
   0.700   7.000   0.204   0.089   0.042   0.000   0.002   0.307
   0.725   7.000   0.206   0.089   0.044   0.000   0.002   0.311
   0.750   8.000   0.208   0.088   0.045   0.000   0.001   0.315
   0.775   8.000   0.210   0.087   0.046   0.000   0.001   0.318
   0.800   8.000   0.212   0.086   0.047   0.000   0.001   0.322
   0.825   8.000   0.214   0.085   0.048   0.000   0.001   0.325
   0.850   8.000   0.216   0.084   0.049   0.000   0.000   0.328
   0.875   8.000   0.218   0.083   0.051   0.000   0.000   0.330
   0.900   8.000   0.219   0.081   0.052   0.000   0.000   0.333
   0.925   8.000   0.221   0.080   0.054   0.000   0.000   0.335
   0.950   8.000   0.222   0.078   0.055   0.000   0.000   0.336
   0.975   8.000   0.222   0.076   0.056   0.000   0.000   0.336
   1.000   8.000   0.222   0.074   0.057   0.000   0.000   0.336
