  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   6.000   0.000   0.304   0.044   0.114   0.005   0.123
   0.025   6.000   0.000   0.299   0.048   0.109   0.005   0.124
   0.050   6.000   0.000   0.292   0.051   0.103   0.004   0.125
   0.075   7.000   0.000   0.285   0.053   0.099   0.004   0.127
   0.100   7.000   0.000   0.278   0.056   0.095   0.004   0.129
   0.125   7.000   0.000   0.272   0.058   0.092   0.003   0.133
   0.150   7.000   0.000   0.266   0.061   0.091   0.003   0.139
   0.175   7.000   0.000   0.261   0.064   0.090   0.003   0.146
   0.200   7.000   0.000   0.256   0.067   0.090   0.003   0.153
   0.225   7.000   0.000   0.253   0.070   0.090   0.003   0.161
   0.250   7.000   0.000   0.250   0.074   0.090   0.003   0.170
   0.275   7.000   0.000   0.247   0.077   0.090   0.003   0.178
   0.300   7.000   0.000   0.245   0.081   0.091   0.003   0.187
   0.325   7.000   0.000   0.243   0.085   0.091   0.003   0.195
   0.350   7.000   0.000   0.242   0.089   0.091   0.003   0.203
   0.375   7.000   0.000   0.240   0.093   0.091   0.003   0.212
   0.400   7.000   0.000   0.240   0.097   0.090   0.003   0.219
   0.425   7.000   0.000   0.239   0.101   0.090   0.003   0.227
   0.450   8.000   0.000   0.238   0.105   0.089   0.003   0.234
   0.475   8.000   0.000   0.238   0.109   0.087   0.003   0.241
   0.500   8.000   0.000   0.237   0.113   0.085   0.003   0.248
   0.525   8.000   0.000   0.237   0.116   0.083   0.002   0.255
   0.550   8.000   0.000   0.237   0.120   0.081   0.002   0.262
   0.575   8.000   0.000   0.237   0.123   0.078   0.002   0.269
   0.600   8.000   0.000   0.237   0.127   0.075   0.002   0.275
   0.625   8.000   0.000   0.237   0.130   0.071   0.002   0.282
   0.650   8.000   0.000   0.237   0.133   0.067   0.002   0.288
   0.675   8.000   0.000   0.237   0.136   0.063   0.002   0.295
   0.700   8.000   0.000   0.238   0.139   0.059   0.001   0.301
   0.725   8.000   0.000   0.238   0.142   0.054   0.001   0.308
   0.750   8.000   0.000   0.238   0.144   0.049   0.001   0.314
   0.775   8.000   0.000   0.239   0.147   0.044   0.001   0.320
   0.800   8.000   0.000   0.239   0.149   0.039   0.001   0.326
   0.825   8.000   0.000   0.240   0.152   0.034   0.001   0.332
   0.850   8.000   0.000   0.240   0.154   0.029   0.001   0.338
   0.875   8.000   0.000   0.241   0.156   0.025   0.001   0.343
   0.900   8.000   0.000   0.241   0.158   0.020   0.000   0.348
   0.925   8.000   0.000   0.242   0.160   0.016   0.000   0.353
   0.950   8.000   0.000   0.242   0.161   0.013   0.000   0.358
   0.975   7.000   0.000   0.242   0.162   0.010   0.000   0.361
   1.000   7.000   0.000   0.241   0.163   0.007   0.000   0.363
