  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   5.000   0.044   0.303   0.000   0.042   0.001   0.148
   0.025   5.000   0.038   0.312   0.000   0.038   0.001   0.157
   0.050   5.000   0.033   0.322   0.000   0.033   0.001   0.169
   0.075   5.000   0.027   0.331   0.000   0.029   0.001   0.181
   0.100   5.000   0.022   0.339   0.000   0.025   0.001   0.193
   0.125   4.000   0.017   0.346   0.000   0.021   0.001   0.205
   0.150   4.000   0.013   0.353   0.000   0.018   0.001   0.216
   0.175   4.000   0.010   0.359   0.000   0.015   0.000   0.227
   0.200   4.000   0.007   0.364   0.000   0.013   0.000   0.237
   0.225   4.000   0.005   0.369   0.000   0.010   0.000   0.247
   0.250   4.000   0.003   0.372   0.000   0.008   0.000   0.256
   0.275   4.000   0.002   0.375   0.000   0.006   0.000   0.264
   0.300   4.000   0.001   0.376   0.001   0.005   0.000   0.271
   0.325   4.000   0.001   0.377   0.001   0.004   0.000   0.277
   0.350   5.000   0.000   0.377   0.003   0.003   0.000   0.282
   0.375   5.000   0.000   0.376   0.004   0.002   0.000   0.286
   0.400   5.000   0.000   0.374   0.007   0.001   0.000   0.290
   0.425   6.000   0.000   0.371   0.009   0.001   0.000   0.294
   0.450   6.000   0.000   0.368   0.013   0.001   0.000   0.297
   0.475   6.000   0.000   0.364   0.016   0.000   0.000   0.300
   0.500   7.000   0.000   0.360   0.021   0.000   0.000   0.302
   0.525   7.000   0.000   0.355   0.025   0.000   0.000   0.305
   0.550   7.000   0.000   0.350   0.030   0.000   0.000   0.308
   0.575   8.000   0.000   0.345   0.035   0.000   0.000   0.310
   0.600   8.000   0.000   0.340   0.040   0.000   0.000   0.312
   0.625   8.000   0.000   0.335   0.045   0.000   0.000   0.315
   0.650   8.000   0.000   0.329   0.050   0.000   0.000   0.317
   0.675   8.000   0.000   0.324   0.056   0.000   0.000   0.319
   0.700   8.000   0.000   0.318   0.061   0.000   0.000   0.320
   0.725   8.000   0.000   0.313   0.066   0.000   0.000   0.322
   0.750   8.000   0.000   0.307   0.071   0.000   0.000   0.323
   0.775   9.000   0.000   0.302   0.075   0.000   0.000   0.325
   0.800   9.000   0.000   0.296   0.080   0.000   0.000   0.326
   0.825   9.000   0.000   0.291   0.085   0.000   0.000   0.327
   0.850   9.000   0.000   0.285   0.089   0.000   0.000   0.328
   0.875   9.000   0.000   0.280   0.094   0.000   0.000   0.329
   0.900   9.000   0.000   0.275   0.099   0.000   0.000   0.330
   0.925   9.000   0.000   0.270   0.103   0.000   0.000   0.331
   0.950   9.000   0.000   0.265   0.107   0.000   0.000   0.332
   0.975   9.000   0.000   0.260   0.111   0.000   0.000   0.334
   1.000   9.000   0.000   0.256   0.115   0.000   0.000   0.335
