  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.121   0.120   0.240
   0.025  20.000   0.121   0.122   0.243
   0.050  20.000   0.120   0.123   0.244
   0.075  19.000   0.118   0.123   0.244
   0.100  14.000   0.117   0.124   0.243
   0.125  17.000   0.118   0.126   0.247
   0.150  19.000   0.120   0.129   0.252
   0.175  20.000   0.122   0.131   0.257
   0.200  20.000   0.123   0.132   0.259
   0.225  21.000   0.123   0.133   0.259
   0.250  21.000   0.122   0.132   0.258
   0.275  21.000   0.121   0.131   0.256
   0.300  20.000   0.119   0.129   0.252
   0.325  20.000   0.117   0.127   0.248
   0.350  21.000   0.115   0.124   0.243
   0.375  22.000   0.113   0.122   0.238
   0.400  22.000   0.111   0.119   0.233
   0.425  22.000   0.108   0.116   0.228
   0.450  22.000   0.106   0.114   0.223
   0.475  22.000   0.103   0.111   0.218
   0.500  22.000   0.101   0.109   0.213
   0.525  23.000   0.099   0.106   0.208
   0.550  22.000   0.097   0.104   0.204
   0.575  22.000   0.095   0.102   0.199
   0.600  22.000   0.093   0.100   0.195
   0.625  22.000   0.091   0.097   0.191
   0.650  22.000   0.089   0.096   0.187
   0.675  21.000   0.087   0.094   0.184
   0.700  20.000   0.085   0.092   0.180
   0.725  20.000   0.084   0.090   0.177
   0.750  20.000   0.083   0.089   0.174
   0.775  20.000   0.081   0.087   0.171
   0.800  20.000   0.080   0.086   0.169
   0.825  20.000   0.079   0.085   0.166
   0.850  20.000   0.077   0.084   0.164
   0.875  20.000   0.076   0.082   0.161
   0.900  20.000   0.075   0.081   0.159
   0.925  20.000   0.074   0.080   0.157
   0.950  21.000   0.074   0.080   0.157
   0.975  21.000   0.074   0.081   0.158
   1.000  21.000   0.075   0.081   0.158
