TEXTURE AT STRAIN =    0.5500
   1.801   2.213   0.234  <-- length of phase ellipsoid axes
  -46.74    3.69  108.42  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
  128.56   49.92 -134.46   0.0003500
