  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  24.000   0.128   0.124   0.251
   0.025  22.000   0.126   0.124   0.249
   0.050  18.000   0.123   0.123   0.246
   0.075  16.000   0.120   0.123   0.244
   0.100  18.000   0.118   0.123   0.244
   0.125  19.000   0.118   0.125   0.246
   0.150  20.000   0.118   0.126   0.247
   0.175  21.000   0.118   0.126   0.248
   0.200  21.000   0.117   0.126   0.247
   0.225  22.000   0.116   0.125   0.245
   0.250  22.000   0.114   0.123   0.241
   0.275  23.000   0.112   0.121   0.237
   0.300  23.000   0.110   0.118   0.232
   0.325  23.000   0.108   0.115   0.226
   0.350  23.000   0.105   0.112   0.220
   0.375  23.000   0.102   0.109   0.214
   0.400  23.000   0.099   0.106   0.208
   0.425  23.000   0.096   0.103   0.202
   0.450  23.000   0.093   0.100   0.196
   0.475  23.000   0.090   0.097   0.190
   0.500  23.000   0.088   0.094   0.185
   0.525  23.000   0.085   0.092   0.180
   0.550  23.000   0.083   0.089   0.175
   0.575  23.000   0.081   0.087   0.171
   0.600  21.000   0.079   0.085   0.167
   0.625  21.000   0.077   0.084   0.164
   0.650  20.000   0.076   0.082   0.161
   0.675  20.000   0.074   0.081   0.158
   0.700  20.000   0.073   0.080   0.156
   0.725  19.000   0.073   0.079   0.154
   0.750  19.000   0.072   0.078   0.153
   0.775  19.000   0.071   0.078   0.152
   0.800  19.000   0.071   0.077   0.151
   0.825  19.000   0.070   0.077   0.150
   0.850  20.000   0.070   0.076   0.149
   0.875  20.000   0.070   0.076   0.148
   0.900  20.000   0.070   0.075   0.147
   0.925  20.000   0.069   0.075   0.147
   0.950  21.000   0.069   0.075   0.146
   0.975  21.000   0.069   0.074   0.145
   1.000  21.000   0.068   0.074   0.145
